mineral_name,rruff_id,laser_nm,data_type,source_file,has_xrd,elements_detected,chemical_family,n_elements,avg_electronegativity,avg_atomic_mass,reduced_formula,matbench_gap_pbe,matbench_is_metal,matbench_e_form
Brookite,R050363-4,514.0,Processed,Brookite__R050363-4__Raman__514__0-000__depolarized__Raman_Data_Processed__208af9054fe07ccdb478999c0ab9.txt,False,"Al,Ca,Cr,El,Fe,K,Ka,Mg,Mn,Na,O,Ox,Pk,Si,Ti,Wt",Unknown,,,,,,,
Liroconite,R050535,532.0,Processed,Liroconite__R050535__Broad_Scan__532__0__unoriented__Raman_Data_Processed__4d01027c4db63dbf59ca7ae20105.txt,False,,Unknown,,,,,,,
Whiteite-(CaFeMg),R130055,532.0,Processed,Whiteite-(CaFeMg)__R130055__Raman__532______Raman_Data_Processed__3220ed34c961b873d78ff0bdddb4.txt,False,,Unknown,,,,,,,
Gadoliniumgalliumgarnet,X090005,532.0,Processed,Gadoliniumgalliumgarnet__X090005__Raman__532______Raman_Data_Processed__4312ff6256e28f88fc863dbbb4da.txt,False,,Unknown,,,,,,,
Allactite,R070175,785.0,Processed,Allactite__R070175__Raman__785______Raman_Data_Processed__411a6716fbbbe674384eeb54f1a3.txt,False,"Al,As,Ca,Cl,Cr,El,F,Fe,K,Ka,La,Mg,Mn,Na,O,Ox,P,Pk,S,Si,Wt",Unknown,,,,,,,
Monazite-(Ce),R040106-4,785.0,Processed,Monazite-(Ce)__R040106-4__Raman__785__90-000__ccw__Raman_Data_Processed__50d7b997c7905dd35c5967be8a5e.txt,False,"Ce,Cl,F,La,P,Si,Th,Wt",Unknown,,,,,,,
Pseudolaueite,R170035,532.0,Processed,Pseudolaueite__R170035__Broad_Scan__532__0__unoriented__Raman_Data_Processed__8c615af3fd8b59a8eaad0b582adf.txt,False,,Unknown,,,,,,,
Diopside,R060171-6,514.0,Processed,Diopside__R060171-6__Raman__514__0-000__depolarized__Raman_Data_Processed__1876fdb57e54251462be7d059e61.txt,False,"Al,Ca,Cr,El,Fe,K,Ka,Mg,Mn,Na,O,Ox,Pk,Si,Ti,Wt",Unknown,,,,,,,
Jarosite,R070493,785.0,Processed,Jarosite__R070493__Raman__785______Raman_Data_Processed__3f181b9d37c61c2a87c5af9d4947.txt,False,,Unknown,1.0,0.0,,Jarosite,,,
Gahnite,R070591,532.0,Processed,Gahnite__R070591__Raman__532______Raman_Data_Processed__ea1442f282c0cc643eef266f8d96.txt,False,,Unknown,,,,,,,
Sarcopside,R070553,785.0,Processed,Sarcopside__R070553__Broad_Scan__785__0__unoriented__Raman_Data_Processed__40a2fa903fe4773559af693e8d79.txt,False,"Al,As,Ca,Cr,El,F,Fe,H,K,Ka,Mg,Mn,Na,O,Ox,P,Pk,S,Ti,Wt",Unknown,,,,,,,
Stibnite,R050016_a,532.0,Processed,Stibnite__R050016_a__Raman__532______Raman_Data_Processed__87f151b6e69b34f815c4ed30da88.txt,False,,Unknown,,,,,,,
Gordaite,R100059,780.0,Processed,Gordaite__R100059__Raman__780______Raman_Data_Processed__6ddd8103cf1ca0093606ff1f9477.txt,False,,Unknown,1.0,0.0,,Gordaite,,,
Cuprite,R050384-3,514.0,Processed,Cuprite__R050384-3__Raman__514__0-000__depolarized__Raman_Data_Processed__3bb8e9d85f46663d175e39dda37e.txt,False,"Cu,El,Ka,O,Ox,Pk,Wt",Unknown,,,,,,,
Magnesiofluckite,R250052,,Processed,Magnesiofluckite__R250052__Raman________Raman_Data_Processed__f8bc8b5398845665f13b9e6ffd07.txt,True,,Unknown,1.0,0.0,,Magnesiofluckite,,,
Guite,R180022,532.0,RAW,Guite__R180022__Raman__532______Raman_Data_RAW__7f70a8841ccb5b8e80ca11c48d8f.txt,False,"Co,Cu,Mn,O,Si,Wt",Unknown,1.0,0.0,,Guite,,,
Bismutotantalite,R130778,532.0,Processed,Bismutotantalite__R130778__Broad_Scan__532__0__unoriented__Raman_Data_Processed__ed31cf327fa69a1392454f4580e2.txt,False,,Unknown,,,,,,,
Albite,R230008,532.0,Processed,Albite__R230008__Raman__532______Raman_Data_Processed__cd94ba6db33df4883965445e1905.txt,False,"Al,Ca,Cr,El,Fe,K,Ka,Mg,Mn,Na,O,Ox,Pk,Si,Ti,Wt",Unknown,,,,,,,
Diaspore,R060546-3,514.0,Processed,Diaspore__R060546-3__Raman__514__0-000__depolarized__Raman_Data_Processed__5519caa2d4d4fd5b6944c323043b.txt,False,"Al,El,Fe,H,Ka,Mg,Mn,O,Ox,Pk,Si,Ti",Unknown,,,,,,,
Barysilite,R100057,532.0,Processed,Barysilite__R100057__Raman__532______Raman_Data_Processed__26b2f6763c434291a7f37c391fa7.txt,False,"Al,Ca,Cr,El,Fe,Ka,Ma,Mg,Mn,O,Ox,Pb,Pk,Si,Wt",Unknown,,,,,,,
Ktenasite,R090002,780.0,Processed,Ktenasite__R090002__Broad_Scan__780__0__unoriented__Raman_Data_Processed__42fba4d8a4647a8574fe5169d1dc.txt,False,,Unknown,,,,,,,
Bonazziite,R061028,532.0,Processed,Bonazziite__R061028__Raman__532______Raman_Data_Processed__ef1316e86b1876829c64ccc3e310.txt,False,,Unknown,,,,,,,
Parabutlerite,R070547,532.0,Processed,Parabutlerite__R070547__Raman__532______Raman_Data_Processed__b6e5edf0c1a2b95c809e02d08c1d.txt,False,,Unknown,,,,,,,
Glaucophane,R120002,780.0,Processed,Glaucophane__R120002__Broad_Scan__780__0__unoriented__Raman_Data_Processed__abb60533bdd2544e18bd24409525.txt,False,"Al,Ca,Cr,El,F,Fe,K,Ka,Mg,Mn,Na,O,Pk,Si,Ti",Unknown,1.0,0.0,,Glaucophane,,,
Ferberite,R040044-3,514.0,Processed,Ferberite__R040044-3__Raman__514__0-000__depolarized__Raman_Data_Processed__2f5c04262be968d78272e416bfd9.txt,False,"Al,El,Fe,Ka,La,Mg,Mn,O,Ox,Pb,Pk,Ti,W,Wt,Zn",Unknown,,,,,,,
Leadhillite,R060047,532.0,Processed,Leadhillite__R060047__Broad_Scan__532__0__unoriented__Raman_Data_Processed__17f6d770b10ac7ff2ff0491a83a3.txt,False,,Unknown,1.0,0.0,,Leadhillite,,,
Paratooite-(La),R110066,532.0,Processed,Paratooite-(La)__R110066__Broad_Scan__532__0__unoriented__Raman_Data_Processed__1680a39057cd0b9dd6218eb7635f.txt,False,"C,Ca,Cl,Cu,F,La,Na,O,Wt",Unknown,,,,,,,
Triplite,R050615,780.0,Processed,Triplite__R050615__Broad_Scan__780__0__unoriented__Raman_Data_Processed__5e834fd3be8e913772fdfd541c16.txt,False,"Al,As,Ca,Cl,Cr,El,F,Fe,K,Ka,Mg,Mn,Na,O,Ox,P,Pk,S,Si,Ti,Wt",Unknown,,,,,,,
Zeophyllite,R060150,785.0,Processed,Zeophyllite__R060150__Broad_Scan__785__0__unoriented__Raman_Data_Processed__0d7ac3a7ab11202111eebb9b4969.txt,False,,Unknown,1.0,0.0,,Zeophyllite,,,
Milarite,R070373,532.0,Processed,Milarite__R070373__Raman__532______Raman_Data_Processed__561ad65e29307a00d8c9cd3ebe0c.txt,False,"Al,Be,Ca,Cr,El,F,Fe,H,K,Ka,Mg,Mn,Na,O,Ox,Pk,Si,Ti,Wt",Unknown,1.0,0.0,,Milarite,,,
Miserite,R060095,780.0,Processed,Miserite__R060095__Broad_Scan__780__0__unoriented__Raman_Data_Processed__26bf2e0ae7d3f2892cf507d03485.txt,False,,Unknown,1.0,0.0,,Miserite,,,
Lithiotantite,R100165,532.0,Processed,Lithiotantite__R100165__Raman__532______Raman_Data_Processed__a26b4be863c5c7120a883313309f.txt,False,,Unknown,,,,,,,
Stutzite,R070701,780.0,Processed,Stutzite__R070701__Broad_Scan__780__0__unoriented__Raman_Data_Processed__ceaf233ed4672a04d577d68a3d99.txt,False,"Ag,Au,Cu,El,Ka,La,Ma,Ox,Pk,Te,Wt",Unknown,,,,,,,
Datolite,R050136-5,514.0,Processed,Datolite__R050136-5__Raman__514__0-000__depolarized__Raman_Data_Processed__0c986d48edf3dd700678987e2850.txt,False,"Al,B,Ca,Cr,Cu,El,F,Fe,Ka,Mg,Mn,Na,O,Ox,Pk,Si,Ti,Wt",Unknown,,,,,,,
Aerinite,R050610,785.0,Processed,Aerinite__R050610__Raman__785______Raman_Data_Processed__6ab54a7d153a95322c236821d3f5.txt,False,,Unknown,1.0,0.0,,Aerinite,,,
Edenite,R050415,780.0,Processed,Edenite__R050415__Broad_Scan__780__0__unoriented__Raman_Data_Processed__0bfc0d49188953c8da2a780984c6.txt,False,,Unknown,1.0,0.0,,Edenite,,,
Gmelinite-Na,R060168,780.0,Processed,Gmelinite-Na__R060168__Broad_Scan__780__0__unoriented__Raman_Data_Processed__9d56dc544688d0ee2cd8706e3a7a.txt,False,"Al,Ca,Cr,El,Fe,H,K,Ka,Mg,Mn,Na,O,Ox,Pk,Si,Wt",Unknown,,,,,,,
Sphalerite,R100145,780.0,Processed,Sphalerite__R100145__Raman__780______Raman_Data_Processed__093011c5a2a68a151720ca4c803e.txt,False,"Cu,El,Fe,Ka,Ox,Pk,S,Si,Wt,Zn",Unknown,,,,,,,
Glucine,R070050,532.0,Processed,Glucine__R070050__Raman__532______Raman_Data_Processed__c405dd19379cc88144e9bdc8fda3.txt,False,,Unknown,1.0,0.0,,Glucine,,,
Orickite,R070739,532.0,Processed,Orickite__R070739__Broad_Scan__532__0__unoriented__Raman_Data_Processed__ca982f71e5cc5dbda521bcf5f4c0.txt,False,,Unknown,,,,,,,
Eucairite,R060639,780.0,Processed,Eucairite__R060639__Raman__780______Raman_Data_Processed__6b8253caf06ab745d11ea20b7601.txt,False,"Ag,Cu,El,Ka,La,Ox,Pk,S,Se,Wt",Unknown,,,,,,,
Wadeite,R060036,532.0,Processed,Wadeite__R060036__Broad_Scan__532__0__unoriented__Raman_Data_Processed__c6984d7b7147e9f66a2cf58d3976.txt,False,,Unknown,,,,,,,
Lamprophyllite,R130420,532.0,Processed,Lamprophyllite__R130420__Broad_Scan__532__0__unoriented__Raman_Data_Processed__e5f0dd6a164ae2f1946296e46e46.txt,False,"Al,Ba,Ca,Cr,F,Fe,H,K,Ka,La,Mg,Mn,Na,Ni,O,Rb,Si,Sr,Ti,Wt,Zn",Unknown,,,,,,,
Pumpellyite-(Mg),R120172,780.0,Processed,Pumpellyite-(Mg)__R120172__Broad_Scan__780__0__unoriented__Raman_Data_Processed__b26c6aecbeb7536a17edc37ac2d4.txt,False,,Unknown,,,,,,,
Hectorfloresite,R080117,532.0,Processed,Hectorfloresite__R080117__Broad_Scan__532__0__unoriented__Raman_Data_Processed__73cb0b0dbb41e745c14d86e56499.txt,False,,Unknown,,,,,,,
Axinite-(Mn),R061121,532.0,Processed,Axinite-(Mn)__R061121__Raman__532______Raman_Data_Processed__555e213dff23c50ece121f4a1bd9.txt,False,"Al,B,Ca,El,F,Fe,Ka,Mg,Mn,O,Ox,Pk,Si,Wt,Zn",Unknown,,,,,,,
Stilpnomelane,R070696,532.0,Processed,Stilpnomelane__R070696__Raman__532______Raman_Data_Processed__096f587a6a6222327d82b0a65eec.txt,False,,Unknown,,,,,,,
Felsobanyaite,R060565,780.0,Processed,Felsobanyaite__R060565__Broad_Scan__780__0__unoriented__Raman_Data_Processed__b846047b651c97113eb0365ebaa5.txt,False,,Unknown,,,,,,,
Hematite,R040024,532.0,Processed,Hematite__R040024__Raman__532______Raman_Data_Processed__efba5a03f74d5a74ed7c21cee77b.txt,False,"Al,Cr,El,Fe,Ka,Mg,Mn,O,Ox,Pk,Ti,Wt",Unknown,,,,,,,
Scheelite,R040173,532.0,Processed,Scheelite__R040173__Raman__532______Raman_Data_Processed__5044e711f48e4076b99314b1651c.txt,False,,Unknown,,,,,,,
Neptunite,R060628,780.0,Processed,Neptunite__R060628__Raman__780______Raman_Data_Processed__c46d7dea563361df340ceaef9331.txt,False,"Al,Ca,Cl,Cr,El,F,Fe,K,Ka,Li,Mg,Mn,Na,O,Ox,Pk,Si,Ti,Wt",Unknown,,,,,,,
Stephanite,R050143,532.0,Processed,Stephanite__R050143__Raman__532______Raman_Data_Processed__0419182f228fac8259e27445dac7.txt,False,"Ag,As,At,Cu,F,Hg,No,On,S,Sb,Wt",Unknown,,,,,,,
Potassic-fluoro-pargasite,R110065,780.0,Processed,Potassic-fluoro-pargasite__R110065__Broad_Scan__780__0__unoriented__Raman_Data_Processed__33d56bb781700b0bc18a66dce79c.txt,False,,Unknown,,,,,,,
Cerussite,R050023-5,514.0,Processed,Cerussite__R050023-5__Raman__514__0-000__depolarized__Raman_Data_Processed__bd1ce2cd998ddae9c55ca40195b9.txt,False,"C,El,Ma,O,Ox,Pb,Pk,Wt",Unknown,,,,,,,
Demesmaekerite,R080130,532.0,Processed,Demesmaekerite__R080130__Broad_Scan__532__0__unoriented__Raman_Data_Processed__e4162ae8416aed7bdfa1fbeaef85.txt,False,,Unknown,,,,,,,
Kyanite,R040119-3,514.0,Processed,Kyanite__R040119-3__Raman__514__0-000__depolarized__Raman_Data_Processed__d763f2180d68f958b47605d51f8f.txt,False,,Unknown,,,,,,,
Brandtite,R070170,785.0,Processed,Brandtite__R070170__Raman__785______Raman_Data_Processed__f3c81527e8a5a9913d2a43db0e49.txt,False,"Al,As,Ca,Cr,El,F,Fe,H,K,Ka,La,Ma,Mg,Mn,Na,O,Ox,P,Pb,Pk,S,Ti,Wt",Unknown,,,,,,,
Clinoptilolite-Na,R061099-5,514.0,Processed,Clinoptilolite-Na__R061099-5__Raman__514__0-000__depolarized__Raman_Data_Processed__efcdbd985e6834f8a43301686457.txt,False,"Al,Ca,Cr,El,F,Fe,K,Ka,Mg,Mn,Na,O,Ox,Pk,Si,Ti,Wt",Unknown,,,,,,,
Albite,R040068-8,514.0,Processed,Albite__R040068-8__Raman__514__0-000__depolarized__Raman_Data_Processed__c1d98ecbb3fba43354924834a197.txt,False,"Al,Ca,Cr,El,Fe,K,Ka,Mg,Mn,Na,O,Ox,Pk,Si,Ti,Wt",Unknown,,,,,,,
Catapleiite,R040005-3,514.0,Processed,Catapleiite__R040005-3__Raman__514__0-000__depolarized__Raman_Data_Processed__c01c1c7dc2967c32ece6a491bf84.txt,False,"Al,Ca,Cl,Cr,El,Fe,K,Ka,La,Mg,Mn,Na,O,Ox,Pk,Si,Ti,Wt,Zr",Unknown,,,,,,,
Variscite,R050467,532.0,Processed,Variscite__R050467__Broad_Scan__532__0__unoriented__Raman_Data_Processed__30a85f582fbad94f591c989571a4.txt,False,,Unknown,,,,,,,
Remondite-(Ce),R120060,532.0,Processed,Remondite-(Ce)__R120060__Broad_Scan__532__0__unoriented__Raman_Data_Processed__767b073e929309c755c5b57ca657.txt,False,,Unknown,,,,,,,
Sulfoborite,R140689,532.0,Processed,Sulfoborite__R140689__Raman__532______Raman_Data_Processed__2c99fd814698354ac17466115799.txt,False,,Unknown,,,,,,,
Frondelite,R050622,532.0,Processed,Frondelite__R050622__Broad_Scan__532__0__unoriented__Raman_Data_Processed__069b583a9b9cc4a35b9d1462e40d.txt,False,,Unknown,,,,,,,
Gahnite,R040027-3,514.0,Processed,Gahnite__R040027-3__Raman__514__0-000__depolarized__Raman_Data_Processed__015d4736a1e7d4e7b0063c2ce377.txt,False,,Unknown,,,,,,,
Beryl,R050305,532.0,Processed,Beryl__R050305__Broad_Scan__532__0__unoriented__Raman_Data_Processed__a77b4240f35f68ed4824deef4a08.txt,False,"Al,Be,Ca,Cr,El,Fe,K,Ka,Li,Mg,Na,O,Ox,Pk,Sc,Si,V,Wt",Unknown,,,,,,,
Chambersite,R050337,532.0,Processed,Chambersite__R050337__Raman__532______Raman_Data_Processed__46ba3d6795074cd2d888082446d2.txt,False,"Al,B,Cl,Cr,El,Fe,Ka,Mg,Mn,O,Ox,Pk,S,Ti,Wt",Unknown,,,,,,,
Strontiojoaquinite,R060331,780.0,Processed,Strontiojoaquinite__R060331__Broad_Scan__780__0__unoriented__Raman_Data_Processed__299ce5c2fdb63fe15161b0724086.txt,False,"Ba,Ca,Cr,El,Fe,H,Ka,La,Mg,Mn,Na,O,Ox,Pk,Si,Sr,Ti,Wt,Zn",Unknown,,,,,,,
CuZnCl(OH)3,R140401,780.0,Processed,CuZnCl(OH)3__R140401__Broad_Scan__780__0__unoriented__Raman_Data_Processed__cbc6419c0379938ddef80a92c5f7.txt,False,"Br,Cl,F,O,Wt",Other,5.0,2.47,36.283068,ZnCuH3ClO3,0.4552,False,-1.325446401985556
Zincolibethenite,R150008,780.0,Processed,Zincolibethenite__R150008__Raman__780______Raman_Data_Processed__a0e1e806ffde789cf088335a1f83.txt,False,,Unknown,1.0,0.0,,Zincolibethenite,,,
Chrysoberyl,R110103,780.0,Processed,Chrysoberyl__R110103__Raman__780______Raman_Data_Processed__baf8eb71cb8a82281443f776ab90.txt,False,,Unknown,,,,,,,
Boulangerite,R050436,532.0,Processed,Boulangerite__R050436__Raman__532______Raman_Data_Processed__580d76a42eb614fa86d217bba73f.txt,False,"As,Cu,El,Fe,Ka,La,Ma,Ox,Pb,Pk,S,Sb,Se,Sn,Wt",Unknown,,,,,,,
Microsommite,R100090,780.0,Processed,Microsommite__R100090__Raman__780______Raman_Data_Processed__40d588d0f537b52b630dc8914c0e.txt,False,,Unknown,1.0,0.0,,Microsommite,,,
Santafeite,R080054,532.0,Processed,Santafeite__R080054__Broad_Scan__532__0__unoriented__Raman_Data_Processed__c2f2cbaf85e5d9ffa2ad151feda7.txt,False,"As,Ca,Cr,F,Fe,Mn,Na,O,On,P,Sr,V,Wt",Unknown,,,,,,,
Topaz,R040121-3,514.0,Processed,Topaz__R040121-3__Raman__514__0-000__depolarized__Raman_Data_Processed__7f9c8eb55378d1d9de5b9f5585b3.txt,False,,Unknown,,,,,,,
Inesite,R090030,532.0,Processed,Inesite__R090030__Broad_Scan__532__0__unoriented__Raman_Data_Processed__d6abc0d329fe0bf130c66b582a75.txt,False,"Al,Ca,Cr,El,F,Fe,H,K,Ka,Mg,Mn,Na,O,Ox,Pk,Si,Ti",Unknown,,,,,,,
Lollingite,R060185,780.0,Processed,Lollingite__R060185__Broad_Scan__780__0__unoriented__Raman_Data_Processed__356fa0d4e16f93c215b7ac9c8af8.txt,False,"As,At,Bi,Cu,F,Fe,No,On,S,Wt",Unknown,1.0,0.0,,Lollingite,,,
Diamond,R150108,780.0,Processed,Diamond__R150108__Raman__780______Raman_Data_Processed__29d21af7f14469863f9cef1a89cf.txt,False,,Unknown,,,,,,,
Kornerupine,R050214-4,514.0,Processed,Kornerupine__R050214-4__Raman__514__0-000__depolarized__Raman_Data_Processed__a8133d803c02ef46a520a8564aeb.txt,False,,Unknown,,,,,,,
Euxenite-(Y),R070324,532.0,RAW,Euxenite-(Y)__R070324__Broad_Scan__532__0__unoriented__Raman_Data_Raw__6c41697216160e8a5795ab005aa3.txt,False,,Unknown,,,,,,,
Chrysoberyl,R100130,780.0,Processed,Chrysoberyl__R100130__Raman__780______Raman_Data_Processed__f09cf2098f47f09f7b6eb906cd3d.txt,False,,Unknown,,,,,,,
Ferberite,R040044-5,514.0,Processed,Ferberite__R040044-5__Raman__514__0-000__depolarized__Raman_Data_Processed__73accb06c0911d9197b653fb9f74.txt,False,"Al,El,Fe,Ka,La,Mg,Mn,O,Ox,Pb,Pk,Ti,W,Wt,Zn",Unknown,,,,,,,
Malachite,R050508,780.0,Processed,Malachite__R050508__Broad_Scan__780__0__unoriented__Raman_Data_Processed__b2c0f69a599dbf030717fc1ac7c7.txt,False,"Al,As,Ca,Cl,Cr,Cu,El,F,Fe,K,Ka,La,Ma,Mg,Mn,Na,O,Ox,P,Pb,Pk,S,Si,Wt,Zn",Unknown,1.0,0.0,,Malachite,,,
Strengite,R040177,785.0,Processed,Strengite__R040177__Broad_Scan__785__0__unoriented__Raman_Data_Processed__f47e9d17c017c887a5a9b389a318.txt,False,,Unknown,,,,,,,
Getchellite,R060109,780.0,Processed,Getchellite__R060109__Broad_Scan__780__0__unoriented__Raman_Data_Processed__18e84c6ddfd783cc96adbb849e01.txt,False,,Unknown,,,,,,,
Saneroite,R060488,532.0,Processed,Saneroite__R060488__Raman__532______Raman_Data_Processed__5fc4289be2e992ae8b6f6f68266f.txt,False,,Unknown,,,,,,,
Guyanaite,R070444,785.0,Processed,Guyanaite__R070444__Raman__785______Raman_Data_Processed__d5f72114a8513ca5bcc7f1281dd0.txt,False,,Unknown,1.0,0.0,,Guyanaite,,,
Eddavidite,R050381,780.0,Processed,Eddavidite__R050381__Broad_Scan__780__0__unoriented__Raman_Data_Processed__08edb595e576f7d2f1b376b5968f.txt,False,"A,Br,Cl,D,O,S",Unknown,1.0,0.0,,Eddavidite,,,
Pyrite,R080030,532.0,Processed,Pyrite__R080030__Raman__532______Raman_Data_Processed__3f0dca8446824ab265b83c053974.txt,True,"Ag,As,At,Cr,Cu,F,Fe,Na,No,On,S,Sb,Wt",Unknown,,,,,,,
