id,metal_center,charge,molecular_mass,n_atoms,n_electrons,tzvp_lumo_energy,tzvp_homo_energy,tzvp_homo_lumo_gap,homo_lumo_gap_delta,tzvp_electronic_energy,electronic_energy_delta,tzvp_dispersion_energy,dispersion_energy_delta,enthalpy_energy,enthalpy_energy_correction,gibbs_energy,gibbs_energy_correction,zpe_correction,heat_capacity,entropy,tzvp_dipole_moment,dipole_moment_delta,polarisability,lowest_vibrational_frequency,highest_vibrational_frequency,smiles
AHIVUJ,Ir,0,616.32875,70,302,-0.09222,-0.25336,0.1611399999999999,0.0618399999999999,-1263.47661668,-1.31627868999999,-0.111372056,0.0101987181,-1261.57147,0.5888679899999261,-1261.665358,0.4949799900000471,0.55728,132.542,197.604,7.8407,-0.0121999999999999,410.06,14.1961,3136.4748,
AHIXEV,Co,0,477.36473,68,244,-0.08451,-0.26137,0.17686,0.0877899999999999,-2475.18762071,-1.4485873300000094,-0.1165869382,0.0107025073999999,-2473.194187,0.5448463799998535,-2473.278639,0.4603943799997978,0.515623,133.291,177.744,6.2563,-0.3834999999999997,386.2,10.9676,3340.7956,
ALEPOX,Cu,0,485.99852,43,246,-0.16054,-0.21014,0.0496,0.03981,-3186.9125646,-1.8834430500000965,-0.0629895265,0.0068457314999999,-3184.717134,0.3119875500001399,-3184.802699,0.2264225500002794,0.284412,102.286,180.086,20.2829,2.387900000000002,361.44,19.0379,3520.7858,
AMUGEV,Co,0,642.20828,76,330,-0.08946,-0.22587,0.1364099999999999,0.0748399999999999,-3737.69098253,-2.2601313300001493,-0.1331226493,0.0107125812999999,-3734.83639,0.5944611999998415,-3734.950582,0.4802691999998387,0.552717,167.433,240.337,7.7119,-0.1958999999999999,498.7,13.3917,3216.233,
AMUGUL,Co,0,606.25992,78,314,-0.08093,-0.21765,0.13672,0.08359,-3515.57509237,-2.0309599200004413,-0.1425953611,0.0112700318999999,-3512.911778,0.6323544499996387,-3513.017724,0.5264084499999626,0.592973,163.07,222.982,8.8733,-0.1562999999999998,519.85,13.8358,3139.8388,
AMUGUN,Ni,0,548.07028,55,282,-0.15027,-0.24938,0.09911,0.0523299999999999,-3245.40659158,-2.104267390000132,-0.0684360318,0.0079339492999999,-3242.880819,0.4215051900000617,-3242.991775,0.3105491900000743,0.383985,132.298,233.526,3.3808,0.2292999999999998,423.57,10.4582,3728.9034,
AMUHAS,Co,0,544.19263,66,280,-0.08332,-0.22319,0.13987,0.0859599999999999,-3431.9413779,-1.9425774199999069,-0.113213563,0.0089910882999999,-3429.476758,0.5220424800004366,-3429.579194,0.4196064800003114,0.484477,147.146,215.596,9.8921,-0.014800000000001,392.86,26.7501,3112.3308,
AMUPII,Ru,0,620.27207,72,310,-0.08468,-0.22595,0.14127,0.07726,-2339.6357965,-1.7547672700002297,-0.1439879713,0.010428296,-2337.331405,0.5496242300000631,-2337.423456,0.4575732299999799,0.515314,155.287,193.738,10.615,0.5494000000000003,466.46,22.3312,3156.1724,
AQUHOL,Ir,0,622.36768,73,306,-0.00116,-0.19873,0.19757,0.06911,-1285.40288652,-1.3602781500001129,-0.1227044367,0.0102129216999999,-1283.424426,0.6181823699998859,-1283.517288,0.5253203699999176,0.583833,143.917,195.445,8.6476,0.0698000000000007,386.4,25.0094,3226.4843,
AQUHUR,Ru,0,560.20666,67,284,-0.05561,-0.22977,0.17416,0.08051,-2078.88602357,-1.622589489999882,-0.1062090171,0.0098029637,-2076.711351,0.5520830800001022,-2076.807331,0.456103080000048,0.518819,136.067,202.008,10.9188,0.4143999999999987,377.52,8.3956,3227.2527,
AQUJIH,Ir,0,666.28973,71,326,-0.04597,-0.22475,0.17878,0.0781299999999999,-2128.24137198,-1.6581027100000938,-0.1159660401,0.0100483198,-2125.993248,0.5900212699998519,-2126.094985,0.4882842699998946,0.55314,147.246,214.124,8.5613,0.2062999999999988,391.35,17.2296,3226.8181,
AROQIH,Fe,0,556.23925,70,286,-0.05222,-0.23455,0.18233,0.09978,-2937.06656872,-1.810763869999846,-0.1277097716,0.0104843161,-2934.697395,0.5584098499998618,-2934.793259,0.4625458499999695,0.5246,142.856,201.764,6.3397,0.1025999999999998,434.2,19.9058,3211.5131,
ARORII,Pt,0,691.36614,85,346,-0.0407,-0.23331,0.19261,0.05574,-2345.96528254,-1.7456093999999212,-0.1466520219,0.0101363208999999,-2343.484466,0.7352071400000568,-2343.603857,0.6158161399998789,0.689408,178.133,251.28,15.3545,0.3382000000000005,454.71,21.4989,3088.3532,
AROROO,Pt,0,693.3454,83,346,-0.04279,-0.2326,0.18981,0.05416,-2381.91617194,-1.790918050000073,-0.1421575255,0.0097178968999999,-2379.41426,0.7109938899998269,-2379.534077,0.5911768900000425,0.665215,176.648,252.176,10.6994,0.2053000000000011,442.99,25.2134,3106.6146,
ATOSUY,Ru,1,637.22791,84,332,-0.19427,-0.29989,0.1056199999999999,0.0571999999999999,-1942.69336407,-1.852232999999842,-0.1299035094,0.0113224127999999,-1940.10509,0.7360410700000557,-1940.225456,0.6156750700001794,0.691541,169.106,253.331,2.8839,-0.2117,539.81,12.0109,3511.8511,
AVABAC,Ni,0,522.32588,71,268,-0.08708,-0.23048,0.1433999999999999,0.0954399999999999,-3526.49646037,-1.7698520799999642,-0.1343503486,0.0102825015999999,-3524.16448,0.5621282900001461,-3524.258603,0.4680052899998372,0.526765,153.12,198.098,11.2193,-0.1694999999999993,406.24,37.2254,3135.6432,
AVABIK,Ni,0,584.33434,77,300,-0.09105,-0.24213,0.15108,0.0808399999999999,-3518.08107601,-2.110838430000058,-0.139348574,0.0107060055,-3515.364878,0.605359579999913,-3515.474949,0.4952885799998512,0.564153,167.982,231.665,12.3553,-0.1509,413.77,22.1114,3174.3204,
AWALOC,Ru,0,675.2354,81,344,-0.04605,-0.20407,0.15802,0.06264,-2220.98156024,-1.943664129999888,-0.1513538945,0.0113138093,-2218.378442,0.6594541099998423,-2218.492213,0.5456831100000272,0.618536,166.739,239.453,14.2875,0.6524000000000001,535.67,15.5783,3136.7191,
AXUCON,Zn,0,885.95945,73,434,-0.1127,-0.22092,0.10822,0.06709,-4305.74887776,-2.4708187699998234,-0.1289919795,0.0102218582999999,-4302.694067,0.5839919899999586,-4302.820158,0.4579009899998709,0.538611,164.5,265.38,12.476,0.3680000000000003,506.67,12.7158,3546.2951,
AXUCUT,Zn,0,789.99532,73,398,-0.11153,-0.22687,0.1153399999999999,0.0644899999999999,-8858.02268088,-3.202964140000404,-0.1263575918,0.0107807882,-8854.235589,0.5841277399995306,-8854.359809,0.459907739999835,0.539055,164.286,261.443,11.8319,0.5771999999999995,480.43,8.8279,3545.671,
AXUDAA,Cd,0,752.07081,73,380,-0.10923,-0.22501,0.11578,0.05717,-3019.00976825,-2.540601180000067,-0.1230967732,0.0109415055999999,-3015.884942,0.5842250699997749,-3016.007395,0.4617720699998244,0.539412,164.022,257.724,11.4377,0.5665999999999993,474.9,15.0323,3544.3749,
AXUDEE,Cd,0,935.9339,73,452,-0.11439,-0.22886,0.11447,0.06756,-2694.3464653,-2.222078750000037,-0.1345173721,0.0100614995999999,-2691.540783,0.5836035500001344,-2691.667543,0.4568435500000305,0.538044,164.78,266.789,10.9561,0.096,506.51,14.7623,3536.2569,
AYIRUV,Rh,0,406.17972,51,206,-0.04063,-0.21349,0.17286,0.06552,-1206.04568455,-1.0033539400001246,-0.0842050277,0.0074149253,-1204.617591,0.4247396099999605,-1204.688818,0.3535126099998251,0.401482,99.063,149.91,6.3548,0.0674999999999999,289.81,38.7933,3149.9387,
AYISAC,Rh,0,630.11466,67,318,-0.08344,-0.2338,0.15036,0.0737899999999999,-2850.10156339,-1.949266099999932,-0.1336236917,0.0094650679,-2847.619103,0.5331942900002105,-2847.719179,0.4331182900000385,0.497081,145.112,210.627,8.2966,0.2877999999999989,451.5,26.0881,3167.4771,
AYOZAP,Ir,0,684.46451,84,336,-0.05575,-0.21118,0.15543,0.05849,-1605.9066066,-1.523366039999928,-0.1500408902,0.0113299869,-1603.695451,0.6877895600000556,-1603.804487,0.5787535599999956,0.646476,173.139,229.485,9.0901,0.0010999999999992,491.54,17.8927,3144.1985,
AYOZET,Ir,0,618.47342,77,302,-0.05077,-0.21002,0.15925,0.0581499999999999,-1181.88570705,-1.270649320000075,-0.1309890507,0.0104458631999999,-1179.980203,0.6348547299999154,-1180.081433,0.5336247299999286,0.597006,157.414,213.058,8.8162,-0.0814000000000003,439.68,24.9438,3512.7507,
AZEVEH,Pt,0,655.13702,56,314,-0.05485,-0.23289,0.17804,0.07981,-2651.73035486,-1.7026266599996234,-0.1042890484,0.0078331995999999,-2649.593333,0.434395200000381,-2649.684929,0.3427992000001723,0.404321,120.924,192.779,10.6634,0.7507999999999999,383.12,16.5916,3159.5652,
AZEVIL,Pt,0,655.13702,56,314,-0.05344,-0.22913,0.17569,0.07994,-2651.70320947,-1.7025634999999966,-0.1038237213,0.0078641958999999,-2649.566948,0.4336979699996846,-2649.658548,0.3420979699999407,0.403533,121.443,192.787,13.5732,0.7148000000000003,387.28,17.8038,3166.4447,
BABDAK,Mo,0,679.96761,56,330,-0.0831,-0.23256,0.1494599999999999,0.06333,-2904.36103559,-1.805857190000097,-0.1129566272,0.0075149675999999,-2902.131183,0.423995399999967,-2902.228545,0.3266333999999915,0.390361,131.64,204.916,3.376,0.1981999999999999,402.63,16.3521,3119.4013,
BABGET,Zn,-1,687.09594,77,360,0.0487,-0.12583,0.17453,0.07915,-4767.7630928,-2.970255010000073,-0.1339965487,0.0116090704,-4764.159874,0.6329637899998488,-4764.277795,0.5150427899998249,0.589347,165.488,248.186,14.6809,1.2166999999999994,418.57,20.5438,3314.9236,
BACCIR,Hg,0,420.21507,38,194,-0.02177,-0.28695,0.2651799999999999,0.0623199999999999,-717.583541019,-0.6701388279999492,-0.0532183235,0.0051410582,-716.611685,0.3017171910000797,-716.677259,0.2361431909999964,0.282715,76.667,138.012,7.4393,-0.0847999999999995,211.93,19.2996,3104.2327,
BAFRUV,Co,0,236.1578,33,120,-0.08013,-0.26961,0.18948,0.08177,-1807.28821083,-0.659129509999957,-0.0460265391,0.0046742864999999,-1806.371667,0.2574143200001799,-1806.423734,0.2053473200001008,0.242987,64.294,109.583,3.7301,-0.0528999999999997,190.6,37.8686,3202.7046,
BAFWAI,Ir,0,634.34436,73,312,-0.04159,-0.21898,0.17739,0.0783099999999999,-1669.94289295,-1.477179779999915,-0.1205341796,0.0100795229999999,-1667.846656,0.6190571700001328,-1667.946819,0.5188941700000669,0.58195,148.976,210.811,9.4308,0.0568999999999988,387.22,20.3395,3518.6809,
BAFWOW,Ir,0,598.36768,71,294,-0.08761,-0.22684,0.13923,0.06485,-1209.22807467,-1.279274980000082,-0.1107068766,0.0095831716999999,-1207.34618,0.6026196899999832,-1207.444069,0.5047306900000876,0.567285,142.143,206.025,9.865,0.4040999999999997,388.84,14.3057,3106.3783,
BAFWUC,Ir,0,678.43028,85,338,-0.08704,-0.22419,0.13715,0.06405,-1442.52524988,-1.5541243300001495,-0.1312376953,0.0120786947999999,-1440.235772,0.7353535499998998,-1440.341842,0.6292835499998546,0.696651,159.494,223.244,9.5582,0.4012999999999991,456.5,13.425,3104.388,
BAFXAJ,Ir,0,630.33975,72,310,-0.04118,-0.19426,0.15308,0.06855,-1607.33159805,-1.4447437799999534,-0.1197045612,0.0097047513,-1605.278559,0.6082952699998714,-1605.378371,0.5084832699999424,0.571466,147.845,210.072,9.1601,-0.0568000000000008,396.77,21.9223,3526.4672,
BASBEE,Ni,0,520.21369,70,276,-0.09236,-0.18034,0.08798,0.0488499999999999,-2927.91951595,-1.786608729999898,-0.0932576907,0.0101193022,-2925.527608,0.6052992200002336,-2925.628713,0.5041942200000449,0.569599,136.004,212.793,1.2121,0.2481,507.74,22.5766,3150.0431,
BAVBEF,Pt,0,593.27143,63,288,-0.07913,-0.23959,0.16046,0.05663,-1680.04355155,-1.3220037800001592,-0.1073373569,0.0083524115999999,-1678.20538,0.5161677699998108,-1678.300916,0.4206317699999999,0.483138,132.243,201.072,14.8235,0.2115999999999989,395.82,15.9794,3139.6765,
BAWCEH,Co,0,304.16901,43,158,-0.06256,-0.23258,0.17002,0.07538,-2040.4627817,-0.9246588700000302,-0.0639689855,0.0063314541999999,-2039.179193,0.3589298300000791,-2039.241678,0.2964448299999276,0.339186,83.924,131.509,5.7099,0.1558000000000001,225.86,46.6279,3201.6646,
BAWCIL,Co,0,304.16901,43,158,-0.03871,-0.22155,0.18284,0.10091,-2040.4542097,-0.9279716000000916,-0.063570296,0.0063780608,-2039.167001,0.359237099999973,-2039.22909,0.2971480999999585,0.339729,83.578,130.676,4.6876,-0.1269,223.72,40.7649,3197.2479,
BECHAU,Hg,-1,423.19816,35,194,0.05359,-0.14981,0.2034,0.0691,-703.048099598,-0.6414113499999985,-0.050237911,0.0049792237999999,-702.145133,0.261555248000036,-702.207219,0.1994692480000139,0.244931,70.798,130.671,15.4071,0.170399999999999,246.68,9.5917,3119.3082,
BEKLOU,Co,0,370.29123,51,186,-0.09536,-0.27825,0.18289,0.09246,-2148.48116861,-1.0762785599999916,-0.0907863886,0.0080506586999999,-2147.013822,0.3910680500002854,-2147.077318,0.3275720500000716,0.370141,102.266,133.639,2.127,-0.0827000000000004,297.54,66.7449,3137.917,
BEKLUA,Co,0,449.33343,62,228,-0.10763,-0.24978,0.14215,0.0821899999999999,-2396.60713291,-1.3502596100001938,-0.1099937851,0.0097774581999999,-2394.771332,0.4855413000000226,-2394.848849,0.4080242999998518,0.458742,123.997,163.149,9.8506,0.0228000000000001,372.86,33.4874,3173.8003,
BEKMAH,Co,0,431.344,62,220,-0.08293,-0.26119,0.1782599999999999,0.0893199999999999,-2358.77516881,-1.3272320099999888,-0.1049098763,0.0096136504,-2356.952129,0.4958078000004207,-2357.030343,0.4175938000003043,0.468708,123.107,164.616,7.1118,-0.5278,340.76,27.5995,3738.4295,
BEKMIP,Co,-1,355.26776,47,178,0.03077,-0.13262,0.1633899999999999,0.0801699999999999,-2108.73401001,-1.0228229700001066,-0.0845356296,0.0074751264999999,-2107.363,0.3481870400000844,-2107.423105,0.288082040000063,0.328976,95.828,126.503,5.9017,0.6433,295.67,63.8031,3119.9918,
BEKZUO,Re,-1,369.11057,26,168,0.03165,-0.09377,0.12542,0.07943,-610.31437666,-0.5691450489999852,-0.0348736786,0.0034617153,-609.566785,0.1784466110000266,-609.627743,0.1174886109999988,0.162557,60.605,128.296,1.6262,0.1452999999999999,174.12,19.467,2976.6574,
BELBAX,Re,-1,433.14187,35,202,0.08049,-0.12094,0.20143,0.0630699999999999,-803.230421589,-0.8074756510000043,-0.0588220748,0.0047038706,-802.167557,0.25538893800001,-802.23339,0.1895559380000122,0.235482,80.772,138.556,5.5068,-0.2242999999999995,228.86,22.5862,3084.6011,
BELBEB,Re,-1,397.14187,32,184,0.02734,-0.08842,0.11576,0.0658499999999999,-688.872948592,-0.6625387149999824,-0.0457609134,0.0041903034999999,-687.97561,0.2347998770000003,-688.042705,0.1677048770000055,0.215875,72.963,141.213,4.3465,0.3546,224.98,11.4437,3087.9318,
BENPAL,Mo,0,316.92227,22,154,-0.17766,-0.2486,0.0709399999999999,0.0495199999999999,-882.312527343,-0.8363599040000054,-0.0314857206,0.0030096218999999,-881.332777,0.1433904390000862,-881.393201,0.0829664390000743,0.12614,61.051,127.172,5.3289,0.1041999999999996,179.22,49.7772,3715.2702,
BEVBUZ,Co,-1,327.27284,45,164,0.02806,-0.16049,0.18855,0.09651,-1995.43635933,-0.9037663899998734,-0.0789596381,0.0072656153999999,-1994.199027,0.3335659400001987,-1994.256432,0.2761609400001816,0.315806,90.319,120.819,6.1342,0.1985000000000001,285.47,73.1046,3132.9985,
BEWRUQ,Co,0,372.31513,59,194,-0.08957,-0.24131,0.1517399999999999,0.0796399999999999,-2181.83100765,-1.120597660000385,-0.0870969619,0.0081537911999999,-2180.219472,0.4909379899995656,-2180.298519,0.4118909899998471,0.46388,114.039,166.367,3.215,-0.1,307.48,29.2078,3110.161,
BEWSAX,Co,0,334.28235,53,174,-0.07831,-0.2377,0.1593899999999999,0.0703099999999999,-2079.01374819,-0.9969687000002524,-0.0767973058,0.007385419,-2077.579391,0.4373884899996483,-2077.651992,0.3647874899997987,0.413201,102.187,152.803,5.8238,-0.0106999999999999,279.41,32.2534,3111.8571,
BEXBIQ,Au,0,740.49355,81,354,-0.04723,-0.26901,0.22178,0.07559,-2048.65444354,-1.7005274400000872,-0.1521011752,0.0126622483,-2046.345011,0.6089050999999017,-2046.444889,0.509027099999912,0.57312,168.48,210.211,12.4459,0.7233999999999998,484.19,21.7587,3151.8279,
BILQUI,Fe,1,557.15082,74,294,-0.16118,-0.29474,0.13356,0.0656799999999999,-3719.1588527,-2.001360190000014,-0.1274651304,0.0099478513,-3716.514722,0.6427705099999912,-3716.622498,0.5349945099997058,0.603115,153.762,226.834,5.5577,-0.1600000000000001,474.02,23.7386,3145.1045,
BIWJID,Au,0,549.20205,48,260,-0.08699,-0.25004,0.1630499999999999,0.0781299999999999,-1477.98134746,-1.1803797899999608,-0.0750343299,0.0072576114999999,-1476.428996,0.3719716699999935,-1476.507309,0.2936586700000134,0.347852,98.935,164.824,11.845,0.6008000000000013,308.92,20.2067,3144.2957,
BOGQIX,Co,-1,631.39804,85,324,0.00767,-0.15345,0.16112,0.08752,-2918.94296176,-1.9289331199997832,-0.1696176914,0.0133927192,-2916.344494,0.6695346400001654,-2916.444285,0.5697436400000697,0.632156,170.124,210.027,3.2255,0.0303999999999997,543.79,13.6118,3144.5172,
BOHKOC,Ni,0,595.25696,80,316,-0.05435,-0.17507,0.12072,0.08222,-3208.22133274,-2.10003826000002,-0.1050866768,0.0125112497999999,-3205.428598,0.6926964799999951,-3205.535389,0.5859054799998376,0.654015,153.586,224.761,5.7152,0.0626000000000006,512.02,14.4319,3712.4054,
BOKFOZ,Mo,0,468.1339,49,232,-0.11234,-0.21431,0.10197,0.05143,-1172.38588547,-1.2183482799998728,-0.087117599,0.0074721757999999,-1170.798905,0.3686321899999711,-1170.874078,0.2934591900000214,0.344085,105.062,158.214,15.2999,1.123899999999999,376.3,33.7728,3153.9734,
BOYVIV,Ru,0,516.30975,73,266,-0.04501,-0.20999,0.16498,0.07395,-1205.10316938,-1.3093196100001023,-0.1176566978,0.0101961772,-1203.170746,0.6231037699999433,-1203.261929,0.5319207699999424,0.589528,141.401,191.911,10.0594,0.2303999999999995,377.84,36.826,3229.5245,
BUCSAT,Cr,0,364.24822,56,192,-0.13016,-0.24436,0.1142,0.05667,-1883.97795338,-1.0935262199998306,-0.0841458849,0.0078014354,-1882.408568,0.4758591600000272,-1882.487218,0.3972091600001022,0.449065,109.455,165.533,5.643,0.0918000000000001,312.49,30.921,3166.2636,
BUPJUU,Zn,0,531.11097,57,274,-0.10797,-0.21516,0.10719,0.04846,-3348.49062235,-1.989115840000068,-0.0831961329,0.0084386095,-3346.048314,0.453192510000008,-3346.147272,0.3542345099999693,0.419547,123.105,208.274,2.174,-0.6125000000000003,434.62,21.6649,3677.6811,
BUVLAF,Fe,0,264.12866,37,138,-0.04942,-0.23093,0.18151,0.09053,-1831.75281329,-0.7862063099998977,-0.0493627421,0.0049135959999999,-1830.653541,0.3130659800001467,-1830.712245,0.2543619800001124,0.295685,70.489,123.553,5.3963,0.4328000000000003,196.9,36.2817,3114.0133,
BUVLIN,Fe,0,306.17561,46,162,-0.02613,-0.2168,0.19067,0.08752,-1949.67224229,-0.9419256199998928,-0.0604996508,0.0057761604,-1948.331277,0.3990396700000929,-1948.401534,0.3287826700000096,0.376291,89.174,147.867,5.8909,0.6193,228.72,26.3392,3132.8884,
CABZIQ,Co,-1,327.27284,45,164,0.02807,-0.16049,0.18856,0.09651,-1995.43635872,-0.9037658400000056,-0.0789598813,0.0072656569999999,-1994.199027,0.3335658800001511,-1994.256432,0.276160880000134,0.315806,90.318,120.819,6.1347,0.1985999999999999,285.46,73.1131,3132.9807,
CACVAD,Fe,0,278.14431,40,146,-0.03153,-0.22141,0.18988,0.0858999999999999,-1871.09659696,-0.8450997299999017,-0.0515525354,0.0050555886999999,-1869.909253,0.3422442300000057,-1869.973157,0.2783402300001398,0.322864,76.806,134.496,5.8492,0.6197999999999997,204.91,20.7043,3157.9679,
CAHLAY,Zr,0,446.02442,45,226,-0.14856,-0.24918,0.10062,0.0556099999999999,-1159.37963766,-1.1893635900000843,-0.0690423108,0.0058672573999999,-1157.845311,0.3449630699999488,-1157.929824,0.2604500699999335,0.31816,100.921,177.874,3.2296,-0.2231999999999998,340.24,9.4725,3163.9608,
CAJZIX,Zr,0,494.24648,65,254,-0.06319,-0.23454,0.17135,0.0696199999999999,-1362.22653591,-1.343798500000048,-0.1099655565,0.0078002628999999,-1360.349588,0.5331494099998508,-1360.442197,0.4405404099998122,0.499809,135.015,194.912,8.578,0.1480999999999994,371.83,23.8527,3174.964,
CAJZOD,Zr,0,550.30908,77,286,-0.06196,-0.23,0.16804,0.06886,-1519.35405516,-1.5379883900000095,-0.1275067885,0.0094228028999999,-1517.166318,0.6497487699998601,-1517.270626,0.5454407699999138,0.611121,155.393,219.535,8.4769,0.1435000000000013,418.98,20.5659,3174.518,
CAKBAS,Zr,0,428.2539,59,220,-0.04108,-0.23696,0.19588,0.0713699999999999,-957.352865452,-1.0853635869999607,-0.0938522174,0.0077200522,-955.775599,0.4919028649999291,-955.856799,0.410702864999962,0.463726,117.107,170.9,7.9983,0.0050000000000007,313.44,33.1922,3189.5765,
CAKBEW,Zr,0,500.29343,71,260,-0.04003,-0.23747,0.1974399999999999,0.0693699999999999,-1365.83889386,-1.3715313900002002,-0.1129083585,0.0085766756,-1363.866418,0.6009444699998312,-1363.966485,0.5008774699999776,0.564966,143.323,210.608,8.2905,0.0806000000000004,371.89,14.6094,3185.8928,
CAKBIA,Zr,0,478.26955,65,246,-0.06181,-0.2335,0.17169,0.06965,-1110.86608767,-1.2513543600000503,-0.1090912535,0.0085678541,-1109.074251,0.5404823100000158,-1109.161647,0.453086310000117,0.509392,129.372,183.941,8.3019,0.0710999999999995,359.23,27.1673,3186.0768,
CAKBOG,Zr,0,444.23083,59,228,-0.04235,-0.23868,0.19633,0.07053,-1208.70898522,-1.1777826899999582,-0.0947426241,0.0069787410999999,-1207.046692,0.4845105300000796,-1207.13393,0.3972725300000093,0.453944,122.88,183.606,8.3349,0.0638999999999985,326.3,18.3526,3181.7193,
CAKXOC,Co,-1,389.20134,45,194,0.01658,-0.09108,0.1076599999999999,0.06619,-2790.44912614,-1.2298099999998158,-0.0904150817,0.0070601093,-2788.898102,0.3212141399999382,-2788.960642,0.2586741400000392,0.301052,97.551,131.625,6.6616,1.2649999999999997,317.34,65.3539,3127.3328,
CANPAJ,Ru,0,534.2628,69,272,-0.06623,-0.23549,0.16926,0.06663,-1277.73485919,-1.36462862999997,-0.1201581476,0.0100584739999999,-1275.800521,0.5697095600000921,-1275.889926,0.4803045599999223,0.537871,135.902,188.17,10.4931,0.4367999999999998,411.01,22.1586,3166.7656,
CAZVAE,V,-1,579.08867,58,296,-0.00411,-0.05487,0.05076,0.04241,-2685.0849696,-1.953896370000166,-0.0907900727,0.0092921052999999,-2682.693733,0.4373402299997906,-2682.782838,0.3482352299997728,0.406901,123.052,187.538,2.4178,0.7238000000000002,656.69,18.4774,3133.5934,
CEFJEC,Pd,0,605.97569,51,298,-0.10323,-0.26613,0.1629,0.0776,-3444.40694093,-2.005111439999837,-0.1090551568,0.0070409601,-3442.032426,0.3694034899999678,-3442.124151,0.2776784900001985,0.338743,120.999,193.051,5.2806,0.7385000000000002,391.61,11.2838,3145.2029,
CEGQEL,Pt,0,1009.10205,83,478,-0.06335,-0.21423,0.15088,0.06178,-2786.88671501,-1.951183510000192,-0.1758767938,0.0100129523,-2784.263408,0.6721234999999979,-2784.387584,0.5479474999997365,0.626169,179.969,261.349,9.9804,-0.0067000000000003,577.65,23.8571,3146.75,
CEGQIP,Pt,0,1009.10205,83,478,-0.06055,-0.21835,0.1578,0.06267,-2786.88238677,-1.952003729999888,-0.1716439009,0.0104168859,-2784.258477,0.6719060400000672,-2784.382751,0.5476320399998258,0.626006,179.87,261.556,12.2259,0.2028999999999996,585.22,19.2646,3159.4832,
