CSD_code,Electronic_E,Dispersion_E,Dipole_M,Metal_q,HL_Gap,HOMO_Energy,LUMO_Energy,Polarizability,CSD_years,SMILES
MUFJAA,-3223.213876,-0.271914,2.0233,1.90543,0.09566,-0.17231,-0.07665,728.015531,2020-2024,
HODYUY,-1892.264735,-0.174613,4.665,1.89399,0.11922,-0.17003,-0.05081,472.732311,2020-2024,
LUVGER,-2271.28439,-0.166467,4.5696,1.68465,0.11336,-0.19388,-0.08052,490.483912,2020-2024,
FEWPUT,-3066.136426,-0.193974,7.2164,1.55162,0.12059,-0.2139,-0.09331,597.538438,2020-2024,
REQVER,-2702.056491,-0.318725,0.6983,2.11104,0.13507,-0.17612,-0.04105,712.784293,2020-2024,
FASNUL,-2595.253551,-0.18509,11.0021,1.73471,0.08151,-0.17963,-0.09812,534.008577,2020-2024,
LAMMUL,-2529.145997,-0.152271,5.3856,1.46549,0.11902,-0.16511,-0.04609,403.344506,2020-2024,
OYUVIQ,-3283.510839,-0.195154,6.944,1.32147,0.13813,-0.18491,-0.04678,516.881461,2020-2024,
LACMUB,-2050.899902,-0.151414,1.8875,1.52463,0.12868,-0.15687,-0.02819,399.14102,2020-2024,
WAGHEV,-4881.836145,-0.322557,4.1226,1.4431,0.16543,-0.22445,-0.05902,830.417595,2020-2024,
AREXEA,-5071.253439,-0.417025,1.1798,1.34861,0.13204,-0.26663,-0.13459,1005.234548,2020-2024,
VIFGOK,-4633.829375,-0.488768,0.0544,1.8593,0.14764,-0.19391,-0.04627,1083.557521,2020-2024,
BUXGEH,-3355.598785,-0.187425,2.5187,1.56927,0.11791,-0.22699,-0.10908,633.709208,2020-2024,
FIVPAF,-10496.622574,-0.416697,0.0001,1.55873,0.17843,-0.13804,0.04039,1009.444292,2020-2024,
BAVDAH,-2237.679932,-0.232155,9.5144,2.07942,0.16613,-0.26161,-0.09548,565.456412,2020-2024,
ZUDMET,-3143.956612,-0.188072,14.9557,1.31926,0.15204,-0.1012,0.05084,463.323219,2020-2024,
ZEZFIX,-2164.462814,-0.155209,3.2269,1.754,0.06942,-0.1783,-0.10888,485.485468,2020-2024,
JEQFEU,-2896.546205,-0.166127,14.5056,1.49452,0.10752,-0.21876,-0.11124,488.153405,2020-2024,
SIFHOF,-2551.148192,-0.156791,8.425,1.53331,0.10192,-0.18629,-0.08437,492.08471,2020-2024,
DUTNUE,-4686.660284,-0.38932,9.0884,2.04326,0.09274,-0.18172,-0.08898,960.7484,2020-2024,
JIZPUH,-2594.393433,-0.151567,0.0532,1.3166,0.12247,-0.18433,-0.06186,495.519023,2020-2024,
DIVZAN,-1894.970168,-0.224836,3.1199,1.5486,0.10135,-0.16709,-0.06574,537.618864,2020-2024,
QEDLIY,-2051.479526,-0.13009,13.7056,1.60185,0.16351,-0.22832,-0.06481,397.909041,2020-2024,
OFABIK,-1959.963295,-0.133709,5.7125,1.83417,0.14346,-0.17804,-0.03458,393.662854,2020-2024,
COGKES,-2064.910609,-0.17931,3.0068,1.8174,0.13468,-0.16498,-0.0303,470.881176,2020-2024,
HIWPUC,-4011.385546,-0.176339,11.3814,1.56389,0.22786,-0.22161,0.00625,430.787446,2020-2024,
YICSAI,-2344.61866,-0.164581,11.0065,1.8093,0.12341,-0.18986,-0.06645,458.674159,2020-2024,
EBIDIG,-3422.467681,-0.082959,2.5595,1.57903,0.1644,-0.06191,0.10249,288.370492,2020-2024,
PITVIB,-5779.105061,-0.361698,3.9635,1.60396,0.15181,-0.31688,-0.16507,850.274637,2020-2024,
VEZTAZ,-2543.314365,-0.310442,11.533,1.98177,0.12715,-0.19531,-0.06816,714.560946,2020-2024,
XORQEB,-3224.231542,-0.222098,5.8188,1.66738,0.11681,-0.28539,-0.16858,572.545245,2020-2024,
MOWJIU,-2133.767976,-0.221112,4.94,1.84166,0.16556,-0.28429,-0.11873,566.995072,2020-2024,
XERGUA,-1404.431209,-0.112873,1.0929,1.60603,0.1439,-0.06587,0.07803,371.326873,2020-2024,
YUQJIG,-2737.163719,-0.221833,8.2682,1.76046,0.11999,-0.20269,-0.0827,617.915292,2020-2024,
QECDUB,-1950.917794,-0.214672,5.2513,2.02344,0.1159,-0.15997,-0.04407,569.856419,2020-2024,
XERHEL,-1596.072521,-0.134137,1.6064,1.59078,0.14359,-0.07028,0.07331,421.759372,2020-2024,
XUNDIU,-3112.263937,-0.179098,8.3479,1.54279,0.12945,-0.21699,-0.08754,556.323312,2020-2024,
VIPBOP,-3233.139171,-0.174616,3.3984,1.22664,0.14532,-0.20083,-0.05551,511.129638,2020-2024,
EKUHEA,-5425.003361,-0.439445,2.5642,1.74044,0.13211,-0.18078,-0.04867,1032.749496,2020-2024,
XOCJIM,-2091.360318,-0.176693,5.8258,1.73761,0.14701,-0.30427,-0.15726,444.08757,2020-2024,
KOVFEJ,-2202.631183,-0.23992,0.3079,2.00618,0.13142,-0.09197,0.03945,629.471107,2020-2024,
KUXKUM,-8819.861384,-0.105475,9.5927,1.06457,0.10665,-0.19583,-0.08918,366.783243,2020-2024,
CEWSIH,-3076.359086,-0.280376,5.5084,1.80854,0.11113,-0.17781,-0.06668,699.204293,2020-2024,
ZUHGIU,-3935.96468,-0.182881,5.6428,0.98532,0.07547,-0.16475,-0.08928,539.497208,2020-2024,
LUSFUD,-2937.116681,-0.281154,4.7366,1.96533,0.15219,-0.17618,-0.02399,700.367033,2020-2024,
IPATIF,-3314.384405,-0.266352,4.4695,1.53483,0.10058,-0.16776,-0.06718,661.179446,2020-2024,
YAXYOO,-3594.724435,-0.226081,12.2997,1.75029,0.08688,-0.20416,-0.11728,645.168037,2020-2024,
FIVLOP,-2458.432247,-0.288737,3.2918,2.15693,0.13508,-0.18381,-0.04873,689.559712,2020-2024,
IWOXAW,-1955.838548,-0.16484,4.7247,1.77399,0.14452,-0.31433,-0.16981,425.059859,2020-2024,
COJSED,-3107.709545,-0.303229,1.9799,2.01583,0.14922,-0.17927,-0.03005,751.000036,2020-2024,
KACMOU,-1552.090022,-0.074748,2.5123,1.95459,0.18702,-0.11338,0.07364,265.996751,2020-2024,
OWATOY,-2554.627137,-0.177108,8.6719,1.56107,0.11334,-0.2203,-0.10696,506.280785,2020-2024,
DEDXET,-2919.167767,-0.103291,1.7153,1.58613,0.12253,-0.21438,-0.09185,358.348958,2020-2024,
ZOBTUJ,-2310.176468,-0.099566,5.2429,1.2431,0.16529,-0.22512,-0.05983,319.982723,2020-2024,
MIVDAA,-4070.085754,-0.271718,7.0967,1.14256,0.13129,-0.18888,-0.05759,698.865391,2020-2024,
WIHQEN,-3227.230174,-0.226959,7.7942,1.90569,0.07827,-0.19603,-0.11776,598.022868,2020-2024,
KINQEH,-9437.233858,-0.24659,16.7848,1.60724,0.11765,-0.22184,-0.10419,655.003298,2020-2024,
WOCRIT,-2939.40561,-0.266069,0.054,1.33102,0.15403,-0.24974,-0.09571,684.555057,2020-2024,
VIPKAK,-2665.773821,-0.201231,6.6356,1.76521,0.14512,-0.19177,-0.04665,549.075564,2020-2024,
SUSFAO,-3080.236405,-0.183928,12.6687,1.53926,0.1306,-0.20985,-0.07925,565.314766,2020-2024,
ZOLXIL,-4745.290183,-0.29004,6.2907,1.23802,0.16634,-0.21354,-0.0472,765.079647,2020-2024,
DUTNEO,-2479.925206,-0.296516,2.0764,2.06136,0.0931,-0.16052,-0.06742,745.30768,2020-2024,
SULTAX,-3030.448844,-0.234298,3.1877,1.84647,0.12597,-0.17017,-0.0442,597.991009,2020-2024,
YIYHEX,-2546.085172,-0.295123,7.2058,1.98123,0.05631,-0.12662,-0.07031,708.08434,2020-2024,
LACMOV,-2540.881542,-0.129559,4.9188,1.13026,0.12064,-0.16635,-0.04571,340.956315,2020-2024,
EWAJAQ,-2816.33742,-0.278193,3.4505,1.73566,0.12496,-0.06378,0.06118,697.085751,2020-2024,
ROGFEC,-3000.619181,-0.295317,2.5138,1.56462,0.14511,-0.29211,-0.147,698.802909,2020-2024,
FOPJOJ,-5780.834791,-0.468271,1.9905,1.74377,0.16418,-0.20859,-0.04441,1077.862095,2020-2024,
FAYPEE,-2382.551933,-0.145133,4.427,1.69915,0.14522,-0.21423,-0.06901,419.530722,2020-2024,
HIGCOT,-4678.914342,-0.196026,6.0718,1.55165,0.25123,-0.14041,0.11082,465.990561,2020-2024,
SILYUJ,-2430.725598,-0.181035,3.9396,1.93208,0.13554,-0.17236,-0.03682,488.565521,2020-2024,
ACUHAI,-1969.535031,-0.105563,8.739,1.58526,0.12523,-0.24395,-0.11872,356.148561,2020-2024,
LUHQIR,-3568.592139,-0.237609,9.4055,1.87734,0.10678,-0.20232,-0.09554,678.206003,2020-2024,
BALREO,-1754.337375,-0.159814,6.6816,1.88048,0.11742,-0.17895,-0.06153,440.921457,2020-2024,
AJUSOQ,-1440.019639,-0.156349,2.0367,1.89125,0.08998,-0.15731,-0.06733,429.457224,2020-2024,
GUVVAX,-4131.259742,-0.395568,16.8229,1.78383,0.06205,-0.26277,-0.20072,905.781427,2020-2024,
MANVUT,-1245.741828,-0.124045,1.6319,2.20468,0.10672,-0.15049,-0.04377,381.769478,2020-2024,
WEHWAK,-1333.345473,-0.07922,4.8002,1.7308,0.12783,-0.21717,-0.08934,264.266407,2020-2024,
NATCES,-9344.64031,-0.233998,5.7734,1.2256,0.18039,-0.21657,-0.03618,613.69461,2020-2024,
DEPPOH,-2442.839751,-0.196113,6.1818,1.97287,0.08842,-0.16585,-0.07743,512.38239,2020-2024,
NAVCOC,-2187.522341,-0.200469,3.3587,1.82321,0.17331,-0.21243,-0.03912,518.653515,2020-2024,
MIVDII,-3019.34168,-0.276966,5.6939,1.92275,0.13319,-0.19475,-0.06156,706.705244,2020-2024,
EPIBIR,-3335.822082,-0.250125,15.2862,1.5818,0.12295,-0.21949,-0.09654,716.213126,2020-2024,
ELACAY,-1867.334516,-0.155392,3.1398,1.10201,0.16242,-0.21262,-0.0502,424.973144,2020-2024,
SORGAK,-2086.126289,-0.098265,3.9359,1.68746,0.16421,-0.2985,-0.13429,295.758185,2020-2024,
AJUSIK,-1433.285847,-0.165663,2.1644,2.07875,0.10895,-0.16653,-0.05758,443.995554,2020-2024,
EZIPUY,-2095.886473,-0.243817,3.5136,2.03275,0.08552,-0.1545,-0.06898,611.024277,2020-2024,
FATXII,-3851.56055,-0.192752,5.3765,1.46106,0.18063,-0.22305,-0.04242,495.789698,2020-2024,
YAQTIX,-2516.128813,-0.198623,6.9824,1.89975,0.15644,-0.16584,-0.0094,541.522929,2020-2024,
YIKBON,-3059.527575,-0.213166,0.3891,1.8863,0.11409,-0.18544,-0.07135,584.686622,2020-2024,
CAGVEP,-3681.688103,-0.264656,2.6217,1.78899,0.12351,-0.19806,-0.07455,704.311719,2020-2024,
SULSIE,-3284.491062,-0.302437,3.368,1.64358,0.10201,-0.16434,-0.06233,727.648293,2020-2024,
POCJIE,-4024.60688,-0.220153,1.4449,1.64162,0.07733,-0.19837,-0.12104,593.088504,2020-2024,
HIGDAG,-1676.650138,-0.105315,6.8328,0.74156,0.1915,-0.2196,-0.0281,336.224776,2020-2024,
YUGVUU,-1977.609394,-0.125421,2.0796,1.71069,0.10689,-0.21374,-0.10685,412.380477,2020-2024,
XERHOV,-1600.888064,-0.143045,3.6965,1.65038,0.14441,-0.07159,0.07282,435.142217,2020-2024,
MIXLOY,-2513.725529,-0.239168,4.5232,1.88995,0.17628,-0.18958,-0.0133,575.797253,2020-2024,
TAWQAK,-2387.266843,-0.125297,9.5571,1.60649,0.12695,-0.21578,-0.08883,445.632926,2020-2024,
TADGIS,-2020.361501,-0.123916,12.3295,1.57361,0.18775,-0.22073,-0.03298,358.19689,2020-2024,
POCGOH,-3144.958217,-0.217329,3.8479,1.6415,0.07443,-0.1904,-0.11597,580.288467,2020-2024,
MIJFEU,-2406.8207,-0.212756,4.3258,1.23952,0.17374,-0.20492,-0.03118,566.617884,2020-2024,
YERZAW,-1683.898806,-0.165662,4.6543,1.96641,0.13424,-0.16304,-0.0288,434.229064,2020-2024,
CIWKEA,-3165.35221,-0.246253,12.4949,1.54438,0.14455,-0.21118,-0.06663,653.147725,2020-2024,
CAGVOZ,-3276.290307,-0.206968,11.8387,1.80811,0.10373,-0.20107,-0.09734,594.257125,2020-2024,
WINGIN,-666.604935,-0.064658,5.4082,1.89581,0.14626,-0.2057,-0.05944,241.809513,2020-2024,
RIBBUD,-1153.855829,-0.11059,8.8759,1.86925,0.05106,-0.10416,-0.0531,333.726028,2020-2024,
SULJAN,-2997.080766,-0.252261,2.9265,1.60367,0.11197,-0.16182,-0.04985,621.038575,2020-2024,
GERFUH,-3474.466749,-0.193897,0.7754,1.96163,0.10844,-0.2081,-0.09966,552.063062,2020-2024,
POCHOI,-4189.665644,-0.220138,5.6906,1.64397,0.07027,-0.20619,-0.13592,595.661027,2020-2024,
RIVNAM,-1792.115507,-0.171654,4.6407,2.13591,0.12948,-0.15692,-0.02744,465.073753,2020-2024,
WIWRIF,-5154.304673,-0.30073,7.7645,1.53872,0.13142,-0.19973,-0.06831,703.962318,2020-2024,
QIRSET,-5080.663285,-0.27556,3.2165,1.62107,0.12948,-0.22017,-0.09069,706.857203,2020-2024,
PUBQUZ,-1702.539303,-0.211598,0.2756,1.77482,0.11508,-0.14465,-0.02957,509.717474,2020-2024,
LEJHEQ,-2299.764528,-0.177953,2.3606,1.79959,0.1249,-0.20473,-0.07983,553.442628,2020-2024,
HODYAE,-1969.657858,-0.18409,4.8231,1.89292,0.11951,-0.16815,-0.04864,490.700665,2020-2024,
WAHQUV,-3227.675026,-0.296384,3.9931,1.53773,0.09556,-0.0487,0.04686,736.662929,2020-2024,
OLOXEV,-1749.572307,-0.072514,7.8017,1.9204,0.12805,-0.10363,0.02442,268.002538,2020-2024,
QEBDOU,-1884.230217,-0.082875,3.2872,1.68458,0.08858,-0.14556,-0.05698,284.281958,2020-2024,
TALRAD,-1998.308792,-0.224659,1.5525,1.96124,0.13714,-0.17303,-0.03589,539.321893,2020-2024,
XAWVUM,-1845.481915,-0.110623,10.8792,1.65239,0.14188,-0.23467,-0.09279,340.663695,2020-2024,
XOCJOS,-2243.693618,-0.194674,8.149,1.80379,0.13874,-0.29954,-0.1608,483.478065,2020-2024,
JIZNUF,-3096.490536,-0.055497,13.5502,0.40912,0.09915,-0.08534,0.01381,216.126689,2020-2024,
ELUSAF,-3110.407038,-0.23059,6.3196,1.56,0.08283,-0.18353,-0.1007,626.387272,2020-2024,
VAGCAL,-4368.922726,-0.15953,2.3042,0.89289,0.10076,-0.07216,0.0286,504.416092,2020-2024,
NIGGIX,-2623.997742,-0.200662,2.4773,1.96704,0.15019,-0.19244,-0.04225,510.935758,2020-2024,
SULJOB,-3228.230583,-0.303368,3.9748,1.58163,0.08787,-0.15146,-0.06359,733.150576,2020-2024,
POHHIG,-2350.296318,-0.176382,2.3091,2.0228,0.14929,-0.17888,-0.02959,508.736212,2020-2024,
TIBPED,-3592.746483,-0.061735,0.0231,0.98688,0.14658,-0.07863,0.06795,295.906973,2020-2024,
SULJER,-2730.371336,-0.273343,1.8129,1.69087,0.11063,-0.15804,-0.04741,657.100733,2020-2024,
RIHXIS,-1823.964875,-0.170259,2.9634,2.0207,0.1325,-0.15733,-0.02483,477.678451,2020-2024,
WEFCUJ,-5948.806316,-0.448166,5.3261,1.8671,0.11963,-0.17588,-0.05625,1049.955647,2020-2024,
QUSDOA,-2659.982966,-0.208318,7.7634,1.832,0.10843,-0.19401,-0.08558,589.955115,2020-2024,
CATDAD,-5036.055452,-0.405805,3.9127,1.71231,0.16605,-0.30335,-0.1373,983.072189,2020-2024,
MOZGEQ,-3689.769245,-0.242251,7.6898,1.68909,0.10991,-0.21378,-0.10387,687.184262,2020-2024,
LACKUZ,-2224.739884,-0.18282,4.5673,1.93783,0.13339,-0.15432,-0.02093,481.012777,2020-2024,
FINTAY,-2061.131275,-0.170408,1.5505,1.98139,0.13499,-0.18706,-0.05207,493.860379,2020-2024,
SULTEB,-2941.693947,-0.296912,1.3463,1.79796,0.11175,-0.15899,-0.04724,717.518834,2020-2024,
NINRIO,-2125.826873,-0.117149,5.3783,1.6191,0.12644,-0.24918,-0.12274,383.617104,2020-2024,
DUBWEC,-1851.621577,-0.090886,12.6957,1.57314,0.09502,-0.21246,-0.11744,307.785706,2020-2024,
KINRAE,-9280.138977,-0.214714,16.9481,1.61712,0.10622,-0.22464,-0.11842,599.909176,2020-2024,
QIXJOA,-2191.909793,-0.143597,2.7629,1.95965,0.1255,-0.18677,-0.06127,417.65132,2020-2024,
RICXIO,-2596.154124,-0.233593,3.4269,1.90088,0.10395,-0.06506,0.03889,614.457704,2020-2024,
CAGWEQ,-3276.504229,-0.211749,4.1345,1.84809,0.11827,-0.20845,-0.09018,584.283874,2020-2024,
VEMNUX,-1774.364037,-0.118923,6.172,1.94083,0.14678,-0.23644,-0.08966,366.643035,2020-2024,
SULSOK,-2961.558429,-0.29422,0.7482,1.89083,0.11616,-0.15899,-0.04283,712.672229,2020-2024,
CAGWAM,-3262.903646,-0.215199,6.2022,1.84242,0.12451,-0.2106,-0.08609,593.302615,2020-2024,
QIQGOM,-3345.827815,-0.168729,13.8392,1.70893,0.09599,-0.24637,-0.15038,487.0485,2020-2024,
MUSJIU,-4119.764263,-0.21569,3.9537,1.31549,0.17499,-0.20403,-0.02904,551.913259,2020-2024,
POCGUN,-3349.311861,-0.231675,7.1279,1.6379,0.06397,-0.19561,-0.13164,593.444157,2020-2024,
QEPKEB,-2856.899586,-0.258689,5.0164,1.8982,0.12244,-0.17291,-0.05047,681.18273,2020-2024,
BODREV,-2409.266875,-0.165139,12.2755,1.57829,0.11538,-0.2263,-0.11092,488.101042,2020-2024,
ILEMOE,-1967.966431,-0.158345,1.4397,1.61629,0.13729,-0.32326,-0.18597,416.535159,2020-2024,
ZIKFOS,-5038.32727,-0.329144,10.6251,1.74262,0.09276,-0.1948,-0.10204,840.668375,2020-2024,
EBIDOM,-1419.341792,-0.081026,2.2474,1.68213,0.16756,-0.07,0.09756,287.370901,2020-2024,
JIZMUE,-2493.010117,-0.240962,0.3255,1.94435,0.12676,-0.18202,-0.05526,646.111395,2020-2024,
POKZOI,-5590.871493,-0.269587,3.5619,0.5083,0.07646,-0.15141,-0.07495,614.257407,2020-2024,
KEYQOY,-2511.250793,-0.176854,1.7613,0.00194,0.10329,-0.15424,-0.05095,461.995522,2020-2024,
WIXBOY,-2420.023671,-0.153664,3.8768,0.83863,0.11374,-0.18812,-0.07438,380.687917,2020-2024,
FIZGOO,-2352.677683,-0.148832,2.8541,0.97392,0.15248,-0.18619,-0.03371,381.738573,2020-2024,
SORMUH,-916.524537,-0.090406,0.655,1.30656,0.06371,-0.1538,-0.09009,246.663083,2020-2024,
BIWWEN,-2865.185971,-0.218417,1.2814,0.46047,0.05962,-0.15097,-0.09135,547.248713,2020-2024,
HILJOB,-3807.085299,-0.112474,1.2121,1.69214,0.11642,-0.26507,-0.14865,326.065918,2020-2024,
AGIVIW,-2087.431001,-0.234387,8.0108,1.94535,0.11506,-0.18037,-0.06531,516.272164,2020-2024,
RIYDIQ,-3461.53582,-0.136877,5.8763,0.2958,0.10405,-0.21878,-0.11473,386.290057,2020-2024,
QIQWOG,-1548.443102,-0.12566,1.1579,1.66083,0.13804,-0.18846,-0.05042,335.254423,2020-2024,
KURCUY,-2185.000835,-0.155339,7.6374,1.85184,0.17567,-0.23139,-0.05572,426.343952,2020-2024,
JOKWEP,-3727.948539,-0.224378,4.4138,0.69618,0.08576,-0.18178,-0.09602,508.75555,2020-2024,
SIZCIR,-10807.117582,-0.061164,0.0065,0.41749,0.13433,-0.22612,-0.09179,213.347801,2020-2024,
POGHOM,-3121.285863,-0.200898,3.5914,0.32387,0.05172,-0.1334,-0.08168,477.135785,2020-2024,
POGJOO,-2935.061329,-0.247328,4.0277,0.57668,0.08243,-0.16309,-0.08066,564.645898,2020-2024,
HILJUH,-1653.516951,-0.110965,0.5779,1.76425,0.21072,-0.22386,-0.01314,328.986967,2020-2024,
QIGREH,-2277.186972,-0.242496,6.6602,1.85105,0.13506,-0.16025,-0.02519,585.131821,2020-2024,
BUYTOH,-3142.091551,-0.247757,1.8208,0.81938,0.10803,-0.16286,-0.05483,610.720328,2020-2024,
SIZBIQ,-4109.82878,-0.188917,0.0181,0.6163,0.16634,-0.22216,-0.05582,531.595672,2020-2024,
FULJUR,-592.240205,-0.056879,2.0479,1.55451,0.13592,-0.19349,-0.05757,181.944173,2020-2024,
IDUTEK,-4236.820865,-0.16206,1.4796,-0.21242,0.11934,-0.17568,-0.05634,452.644429,2020-2024,
FOBFOV,-4444.678058,-0.178265,9.0286,0.9112,0.12631,-0.20358,-0.07727,440.635594,2020-2024,
LIRDAR,-2158.213921,-0.123739,6.424,1.20445,0.11961,-0.20329,-0.08368,344.813043,2020-2024,
KANJUE,-1393.824156,-0.105956,6.9487,1.27601,0.08517,-0.17896,-0.09379,293.868152,2020-2024,
HABGEA,-2693.445151,-0.144688,1.6989,0.89251,0.12794,-0.21192,-0.08398,449.202202,2020-2024,
WIFVEP,-1620.843582,-0.192332,2.0378,1.77081,0.11976,-0.30435,-0.18459,440.625261,2020-2024,
CEPDEG,-1306.787163,-0.118731,3.7369,1.29082,0.04479,-0.19556,-0.15077,287.841431,2020-2024,
QIHBOC,-1168.25735,-0.114606,1.3976,1.62589,0.08877,-0.15604,-0.06727,311.932427,2020-2024,
TUZPIP,-1557.371193,-0.111568,2.7642,1.88278,0.10127,-0.18406,-0.08279,328.962193,2020-2024,
LUQVIF,-2508.839399,-0.192387,1.8777,0.81853,0.11875,-0.18239,-0.06364,465.940002,2020-2024,
SINGOO,-4552.124103,-0.203272,2.7024,0.25362,0.12187,-0.17641,-0.05454,546.359936,2020-2024,
POGJII,-2702.890236,-0.216915,3.4591,0.73673,0.09414,-0.16657,-0.07243,498.966293,2020-2024,
RODHAV,-3741.955426,-0.221404,8.9171,0.4295,0.11734,-0.17766,-0.06032,556.905304,2020-2024,
COJTEE,-22537.831741,-0.213113,0.0104,1.7965,0.10417,-0.19825,-0.09408,595.851972,2020-2024,
KIKYOW,-2886.160799,-0.189299,3.7233,1.26869,0.13205,-0.20064,-0.06859,494.944837,2020-2024,
HONQOR,-2343.081318,-0.153594,0.4729,1.85758,0.13801,-0.19829,-0.06028,425.574071,2020-2024,
POGHUS,-2625.545306,-0.206288,3.8977,0.56202,0.07773,-0.16286,-0.08513,478.903344,2020-2024,
PNOLTI,-1949.233947,-0.081241,2.5273,0.03721,0.03211,-0.19047,-0.15836,258.009058,2020-2024,
VISPEW,-3978.381277,-0.479531,0.9171,1.94742,0.13286,-0.17813,-0.04527,1044.23076,2020-2024,
EHIROF,-2155.825525,-0.095141,2.9418,0.93222,0.15326,-0.21528,-0.06202,278.48921,2020-2024,
DUHYAJ,-5139.642186,-0.154098,0.765,0.78631,0.05723,-0.08093,-0.0237,372.257198,2020-2024,
YUYDUS,-4830.468544,-0.362508,4.5588,0.77441,0.08496,-0.16212,-0.07716,852.348486,2020-2024,
COJTII,-22695.040871,-0.248839,0.0076,1.78375,0.09628,-0.19408,-0.0978,643.177486,2020-2024,
JIWDIG,-2994.298901,-0.232714,4.1794,0.08204,0.05063,-0.1287,-0.07807,515.117358,2020-2024,
NEXYIA,-1507.929974,-0.151004,4.2764,2.13441,0.10058,-0.15758,-0.057,389.321867,2020-2024,
JIDBUX,-2087.316207,-0.154336,3.6929,1.15475,0.13938,-0.31713,-0.17775,374.646326,2020-2024,
DOCVOK,-1888.019201,-0.181541,1.2582,1.66554,0.16546,-0.19658,-0.03112,444.732191,2020-2024,
QOFLOQ,-1765.414138,-0.149134,3.2433,1.37122,0.13051,-0.17518,-0.04467,370.51466,2020-2024,
NOBYUC,-3943.653603,-0.165029,9.9797,0.18326,0.09581,-0.17287,-0.07706,392.107786,2020-2024,
POGJAA,-2473.201564,-0.195317,4.2254,0.56229,0.08276,-0.16128,-0.07852,439.258776,2020-2024,
HOGDIU,-2126.917698,-0.138354,4.3899,0.84451,0.10975,-0.1907,-0.08095,353.680116,2020-2024,
BUYSIA,-2287.267385,-0.14468,1.5789,0.72511,0.11697,-0.16462,-0.04765,368.083144,2020-2024,
PEFSIF,-8908.311402,-0.105787,7.3532,0.50993,0.08637,-0.21559,-0.12922,354.412665,2020-2024,
JOKXAM,-3687.417562,-0.216902,4.3307,0.68809,0.08772,-0.18189,-0.09417,496.591937,2020-2024,
LUTJES,-1358.920288,-0.14843,0.4807,1.45974,0.11713,-0.16484,-0.04771,361.833428,2020-2024,
POLBEB,-3814.865733,-0.264423,1.2991,0.39654,0.02146,0.0285,0.04996,602.758269,2020-2024,
HIYMEL,-1966.003495,-0.150146,15.144,1.89821,0.129,-0.24125,-0.11225,353.961148,2020-2024,
HONPUW,-2344.058081,-0.153716,0.5928,2.13498,0.1427,-0.19565,-0.05295,425.871689,2020-2024,
JOKWUF,-3882.76649,-0.238253,2.7809,0.57496,0.12342,-0.20966,-0.08624,536.557416,2020-2024,
NUSZUW,-2633.565615,-0.144614,11.3566,0.55729,0.00737,-0.16868,-0.16131,416.085802,2020-2024,
POKCID,-3041.361805,-0.081776,4.1805,0.48642,0.11914,-0.2348,-0.11566,292.750736,2020-2024,
BIWLAY,-2952.540989,-0.225727,3.0987,0.41063,0.05202,-0.12838,-0.07636,569.834432,2020-2024,
PIPNEJ,-925.747498,-0.04722,1.1845,1.59109,0.2058,-0.23398,-0.02818,165.861492,2020-2024,
JOZJUD,-2324.849038,-0.113516,3.4753,0.59746,0.14245,-0.20353,-0.06108,340.459681,2020-2024,
