sample_id,source_dataset,raw_file_path,rruff_id,mineral_name,compound_name,original_formula,display_formula_clean,normalized_formula,reduced_formula,chemical_family,sub_family,elements,contains_transition_metal,contains_3d_transition_metal,contains_4d_transition_metal,contains_5d_transition_metal,is_mixture,mixture_components,has_variable_formula,has_vacancy_symbol,has_mixed_occupancy,has_html_tag,has_hydrate,formula_parse_success,eligible_for_matbench_matching,matbench_match_success,band_gap_eV,band_gap_class,is_metal,formation_energy,formation_energy_class,has_xrd,xrd_file_path,duplicate_rruff_id,duplicate_group_size,exclude_from_inorganic_main,quality_flags
R120010,RRUFF,Actinolite__R120010__Broad_Scan__532__0__unoriented__Raman_Data_Processed__40078cadd5746e56f5cb5b053acd.txt,R120010,Actinolite,Actinolite,[box]Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_,[box]Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_,[box]Ca2(Mg45-25Fe05-25)Si8O22(OH)2,[box]Ca2(Mg45-25Fe05-25)Si8O22(OH)2,Silicate,,"Ca,Fe,H,Mg,O,Si",True,True,False,False,False,,True,True,False,False,True,False,False,False,,,,,,False,,True,8,False,
NO_ID_0,RRUFF,Actinolite__X050001__Raman__785______Raman_Data_RAW__1c3dfc6493b44fcfb3b04e960dd5.txt,,Actinolite,Actinolite,[box]Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_,[box]Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_,[box]Ca2(Mg45-25Fe05-25)Si8O22(OH)2,[box]Ca2(Mg45-25Fe05-25)Si8O22(OH)2,Silicate,,"Ca,Fe,H,Mg,O,Si",True,True,False,False,False,,True,True,False,False,True,False,False,False,,,,,,False,,False,1,False,
R230014,RRUFF,Adachiite__R230014-3__Raman__514-5______Raman_Data_Processed__85bb1e9626093899edcc5b738568.txt,R230014,Adachiite,Adachiite,CaFe^2+^_3_Al_6_(Si_5_AlO_18_)(BO_3_)_3_(OH)_3_(OH),CaFe^2+^_3_Al_6_(Si_5_AlO_18_)(BO_3_)_3_(OH)_3_(OH),CaFe3Al6(Si5AlO18)(BO3)3(OH)3(OH),CaAl7Fe3Si5B3H4O31,Silicate,,"Al,B,Ca,Fe,H,O,Si",True,True,False,False,False,,False,False,False,False,False,True,True,False,,,,,,False,,True,3,False,
R040130,RRUFF,Adamite__R040130-3__Raman__514__0-000__depolarized__Raman_Data_Processed__db64e18da4d6c225c79e3b818e15.txt,R040130,Adamite,Adamite,Zn_2_(AsO_4_)(OH),Zn_2_(AsO_4_)(OH),Zn2(AsO4)(OH),Zn2AsHO5,Sulfate,,"As,H,O,Zn",True,True,False,False,False,,False,False,False,False,False,True,True,True,1.9575,semiconductor,False,-1.7352544360966666,stable,True,Adamite__R040130-3__Xray_Data_XY__514__0-000__depolarized__Xray_Data_XY_Data_Processed__db64e18da4d6c225c79e3b818e15.txt,True,33,False,
R050020,RRUFF,Adamite__R050020-3__Raman__514__0-000__depolarized__Raman_Data_Processed__7aeca6e07a3bcad0c72d9d3b6159.txt,R050020,Adamite,Adamite,Zn_2_(AsO_4_)(OH),Zn_2_(AsO_4_)(OH),Zn2(AsO4)(OH),Zn2AsHO5,Sulfate,,"As,H,O,Zn",True,True,False,False,False,,False,False,False,False,False,True,True,True,1.9575,semiconductor,False,-1.7352544360966666,stable,True,Adamite__R050020-3__Xray_Data_XY__514__0-000__depolarized__Xray_Data_XY_Data_Processed__7aeca6e07a3bcad0c72d9d3b6159.txt,True,32,False,
R060593,RRUFF,Adamite__R060593__Raman__532______Raman_Data_Processed__8960cb9a68d0a043703b00c8fc06.txt,R060593,Adamite,Adamite,Zn_2_(AsO_4_)(OH),Zn_2_(AsO_4_)(OH),Zn2(AsO4)(OH),Zn2AsHO5,Sulfate,,"As,Ca,Cl,Cu,F,Fe,H,La,Mg,Mn,O,P,Pb,S,Zn",True,True,False,True,False,,False,False,False,False,False,True,True,True,1.9575,semiconductor,False,-1.7352544360966666,stable,True,Adamite__R060593__Xray_Data_XY__532______Xray_Data_XY_Data_Processed__8960cb9a68d0a043703b00c8fc06.txt,True,6,False,
R070360,RRUFF,Adamsite-(Y)__R070360__Broad_Scan__785__0__unoriented__Raman_Data_Processed__3c65ea7c8e9cc42814a17bcf3e70.txt,R070360,Adamsite-(Y),Adamsite-(Y),NaY(CO_3_)_2_·6H_2_O,NaY(CO_3_)_2_·6H_2_O,NaY(CO3)26H2O,NaYH2C26O79,Carbonate,,"C,H,Na,O,Y",True,False,True,False,False,,False,False,False,False,True,True,True,False,,,,,,False,,True,7,False,
R190033,RRUFF,Adanite__R190033__Raman__532______Raman_Data_Processed__97218a55b1f013bb1af6660563e8.txt,R190033,Adanite,Adanite,Pb_2_(Te^4+^O_3_)(SO_4_),Pb_2_(Te^4+^O_3_)(SO_4_),Pb2(TeO3)(SO4),TePb2SO7,Sulfate,,"O,Pb,S,Te",False,False,False,False,False,,False,False,False,False,False,True,True,False,,,,,,False,,True,6,False,
R060687,RRUFF,Adelite__R060687__Raman__532______Raman_Data_Processed__dca6218528ee2f7e72b690f3d1f0.txt,R060687,Adelite,Adelite,CaMg(AsO_4_)(OH),CaMg(AsO_4_)(OH),CaMg(AsO4)(OH),CaMgAsHO5,Sulfate,,"Al,As,Ca,Cl,Cr,F,Fe,H,K,La,Mg,Mn,Na,O,P,S,Si",True,True,False,True,False,,False,False,False,False,False,True,True,False,,,,,,False,,True,6,False,
R140962,RRUFF,Adelite__R140962__Broad_Scan__532__0__unoriented__Raman_Data_Processed__7457110abf7642c4df59a2413000.txt,R140962,Adelite,Adelite,CaMg(AsO_4_)(OH),CaMg(AsO_4_)(OH),CaMg(AsO4)(OH),CaMgAsHO5,Sulfate,,"As,Ca,H,Mg,O",False,False,False,False,False,,False,False,False,False,False,True,True,False,,,,,,False,,True,6,False,
R040054,RRUFF,Aegirine__R040054-3__Raman__514__0-000__depolarized__Raman_Data_Processed__763662312a7d089e52ac546c1325.txt,R040054,Aegirine,Aegirine,NaFe^3+^Si_2_O_6_,NaFe^3+^Si_2_O_6_,NaFeSi2O6,NaFe(SiO3)2,Silicate,,"Fe,Na,O,Si",True,True,False,False,False,,False,False,False,False,False,True,True,True,2.8631,semiconductor,False,-2.7952914512500007,highly_stable,True,Aegirine__R040054-3__Xray_Data_XY__514__0-000__depolarized__Xray_Data_XY_Data_Processed__763662312a7d089e52ac546c1325.txt,True,42,False,
R050074,RRUFF,Aegirine__R050074-3__Raman__514__0-000__depolarized__Raman_Data_Processed__e218395863e2ce3487e604f1e554.txt,R050074,Aegirine,Aegirine,NaFe^3+^Si_2_O_6_,NaFe^3+^Si_2_O_6_,NaFeSi2O6,NaFe(SiO3)2,Silicate,,"Al,Ca,Cr,F,Fe,La,Mg,Mn,Mt,Na,O,Si,Ti,Zn,Zr",True,True,True,True,False,,False,False,False,False,False,True,True,True,2.8631,semiconductor,False,-2.7952914512500007,highly_stable,True,Aegirine__R050074-3__Xray_Data_XY__514__0-000__depolarized__Xray_Data_XY_Data_Processed__e218395863e2ce3487e604f1e554.txt,True,40,False,
R061093,RRUFF,Aegirine__R061093__Raman__532______Raman_Data_Processed__eacc40c0a74ddabe6fa3613dfb89.txt,R061093,Aegirine,Aegirine,NaFe^3+^Si_2_O_6_,NaFe^3+^Si_2_O_6_,NaFeSi2O6,NaFe(SiO3)2,Silicate,,"Al,Ca,Cr,Fe,K,Mg,Mn,Na,O,Si,Ti",True,True,False,False,False,,False,False,False,False,False,True,True,True,2.8631,semiconductor,False,-2.7952914512500007,highly_stable,False,,True,6,False,
R070125,RRUFF,Aegirine__R070125__Raman__532______Raman_Data_Processed__83b4a073f61dffad8f5d5ef8a58d.txt,R070125,Aegirine,Aegirine,NaFe^3+^Si_2_O_6_,NaFe^3+^Si_2_O_6_,NaFeSi2O6,NaFe(SiO3)2,Silicate,,"Al,Ca,Cr,Fe,K,Mg,Mn,Na,O,Si,Ti",True,True,False,False,False,,False,False,False,False,False,True,True,True,2.8631,semiconductor,False,-2.7952914512500007,highly_stable,False,,True,6,False,
R070253,RRUFF,Aegirine__R070253__Raman__532______Raman_Data_Processed__ef20fcecf52013adb0063596b6ae.txt,R070253,Aegirine,Aegirine,NaFe^3+^Si_2_O_6_,NaFe^3+^Si_2_O_6_,NaFeSi2O6,NaFe(SiO3)2,Silicate,,"Fe,Na,O,Si",True,True,False,False,False,,False,False,False,False,False,True,True,True,2.8631,semiconductor,False,-2.7952914512500007,highly_stable,False,,True,6,False,
R120144,RRUFF,Aegirine__R120144__Broad_Scan__532__0__unoriented__Raman_Data_Processed__8755e84a1bd47ee4a9979718f9b5.txt,R120144,Aegirine,Aegirine,NaFe^3+^Si_2_O_6_,NaFe^3+^Si_2_O_6_,NaFeSi2O6,NaFe(SiO3)2,Silicate,,"Fe,Na,O,Si",True,True,False,False,False,,False,False,False,False,False,True,True,True,2.8631,semiconductor,False,-2.7952914512500007,highly_stable,False,,True,8,False,
R120167,RRUFF,Aegirine__R120167__Broad_Scan__532__0__unoriented__Raman_Data_Processed__c970e847499313a4617e03f37457.txt,R120167,Aegirine,Aegirine,NaFe^3+^Si_2_O_6_,NaFe^3+^Si_2_O_6_,NaFeSi2O6,NaFe(SiO3)2,Silicate,,"Fe,Na,O,Si",True,True,False,False,False,,False,False,False,False,False,True,True,True,2.8631,semiconductor,False,-2.7952914512500007,highly_stable,False,,True,8,False,
R061088,RRUFF,Aenigmatite__R061088-3__Raman__514__0-000__depolarized__Raman_Data_Processed__411e4af1433047b15c5a49bc4902.txt,R061088,Aenigmatite,Aenigmatite,Na_4_[Fe^2+^_10_Ti_2_]O_4_[Si_12_O_36_],Na_4_[Fe^2+^_10_Ti_2_]O_4_[Si_12_O_36_],Na4[Fe10Ti2]O4[Si12O36],Na2TiFe5(Si3O10)2,Silicate,,"Al,Ca,Cr,Fe,K,Mg,Mn,Na,O,Si,Ti",True,True,False,False,False,,False,False,False,False,False,True,True,True,2.3046,semiconductor,False,-2.7812289088725493,highly_stable,False,,True,54,False,
R061089,RRUFF,Aenigmatite__R061089__Raman__532______Raman_Data_Processed__ab26d3b97874cec620a7777e0804.txt,R061089,Aenigmatite,Aenigmatite,Na_4_[Fe^2+^_10_Ti_2_]O_4_[Si_12_O_36_],Na_4_[Fe^2+^_10_Ti_2_]O_4_[Si_12_O_36_],Na4[Fe10Ti2]O4[Si12O36],Na2TiFe5(Si3O10)2,Silicate,,"Al,Ca,Cr,Fe,K,Mg,Mn,Na,O,Si,Ti",True,True,False,False,False,,False,False,False,False,False,True,True,True,2.3046,semiconductor,False,-2.7812289088725493,highly_stable,False,,True,6,False,
R050610,RRUFF,Aerinite__R050610__Raman__785______Raman_Data_Processed__6ab54a7d153a95322c236821d3f5.txt,R050610,Aerinite,Aerinite,"(Ca,Na)_6_(Fe^3+^,Fe^2+^,Mg,Al)_4_(Al,Mg)_6_Si_12_O_36_(OH)_12_(CO_3_)·12H_2_O","(Ca,Na)_6_(Fe^3+^,Fe^2+^,Mg,Al)_4_(Al,Mg)_6_Si_12_O_36_(OH)_12_(CO_3_)·12H_2_O","(Ca,Na)6(Fe,Fe,Mg,Al)4(Al,Mg)6Si12O36(OH)12(CO3)12H2O","(Ca,Na)6(Fe,Fe,Mg,Al)4(Al,Mg)6Si12O36(OH)12(CO3)12H2O",Silicate,,"Al,C,Ca,Fe,H,Mg,Na,O,Si",True,True,False,False,False,,False,False,True,False,True,False,False,False,,,,,,False,,True,2,False,
R060312,RRUFF,Aeschynite-(Y)__R060312__Raman__532______Raman_Data_Processed__c0ecd34947edbd1ebc82fd40db6d.txt,R060312,Aeschynite-(Y),Aeschynite-(Y),Y(TiNb)O_6_,Y(TiNb)O_6_,Y(TiNb)O6,YTiNbO6,Oxide,,"Ca,Ce,Dy,Fe,H,La,Nb,Nd,O,Th,Ti,U,Y",True,True,True,True,False,,False,False,False,False,False,True,True,True,3.166,wide_gap_insulator,False,-3.5288661929232807,highly_stable,True,Aeschynite-(Y)__R060312__Xray_Data_XY__532______Xray_Data_XY_Data_Processed__c0ecd34947edbd1ebc82fd40db6d.txt,True,6,False,
R080045,RRUFF,Aeschynite-(Y)__R080045__Broad_Scan__532__0__unoriented__Raman_Data_Processed__34def63603a6bb9b836125c30d7e.txt,R080045,Aeschynite-(Y),Aeschynite-(Y),Y(TiNb)O_6_,Y(TiNb)O_6_,Y(TiNb)O6,YTiNbO6,Oxide,,"Nb,O,Ti,Y",True,True,True,False,False,,False,False,False,False,False,True,True,True,3.166,wide_gap_insulator,False,-3.5288661929232807,highly_stable,True,Aeschynite-(Y)__R080045__Broad_Scan__532__0__unoriented__Xray_Data_XY_Data_Processed__34def63603a6bb9b836125c30d7e.txt,True,8,False,
R060422,RRUFF,Afghanite__R060422__Raman__532______Raman_Data_Processed__dbf801bbeca7f15d3b75e745330a.txt,R060422,Afghanite,Afghanite,"(Na,K)_22_Ca_10_(Si_24_Al_24_)O_96_(SO_4_)_6_Cl_6_","(Na,K)_22_Ca_10_(Si_24_Al_24_)O_96_(SO_4_)_6_Cl_6_","(Na,K)22Ca10(Si24Al24)O96(SO4)6Cl6","(Na,K)22Ca10(Si24Al24)O96(SO4)6Cl6",Silicate,,"Al,Ca,Cl,K,Na,O,S,Si",False,False,False,False,False,,False,False,True,False,False,False,False,False,,,,,,True,Afghanite__R060422__Xray_Data_XY__532______Xray_Data_XY_Data_Processed__dbf801bbeca7f15d3b75e745330a.txt,True,6,False,
R070558,RRUFF,Afghanite__R070558__Raman__532______Raman_Data_Processed__47261bc87716a957db07b1359602.txt,R070558,Afghanite,Afghanite,"(Na,K)_22_Ca_10_(Si_24_Al_24_)O_96_(SO_4_)_6_Cl_6_","(Na,K)_22_Ca_10_(Si_24_Al_24_)O_96_(SO_4_)_6_Cl_6_","(Na,K)22Ca10(Si24Al24)O96(SO4)6Cl6","(Na,K)22Ca10(Si24Al24)O96(SO4)6Cl6",Silicate,,"Al,Ca,Cl,Cr,F,Fe,K,Mg,Mn,Na,O,P,S,Si",True,True,False,False,False,,False,False,True,False,False,False,False,False,,,,,,False,,True,6,False,
R130082,RRUFF,Afmite__R130082__Raman__514______Raman_Data_Processed__7c715a8da858a6a2fda6e83f6ef2.txt,R130082,Afmite,Afmite,Al_3_(OH)_4_(H_2_O)_3_(PO_4_)(PO_3_OH)·H_2_O,Al_3_(OH)_4_(H_2_O)_3_(PO_4_)(PO_3_OH)·H_2_O,Al3(OH)4(H2O)3(PO4)(PO3OH)H2O,Al3P2H13O16,Phosphate,,"Al,H,O,P",False,False,False,False,False,,False,False,False,False,True,True,True,False,,,,,,False,,True,3,False,
R070296,RRUFF,Afwillite__R070296__Raman__532______Raman_Data_Processed__b880c76fa90d5919d53b93873774.txt,R070296,Afwillite,Afwillite,Ca_3_[SiO_4_][SiO_2_(OH)_2_]·2H_2_O,Ca_3_[SiO_4_][SiO_2_(OH)_2_]·2H_2_O,Ca3[SiO4][SiO2(OH)2]2H2O,Ca3Si3H6O13,Silicate,,"Al,Ca,Cl,Cr,F,Fe,H,K,Mg,Mn,Na,O,Si,Ti",True,True,False,False,False,,False,False,False,False,True,True,True,False,,,,,,False,,True,6,False,
R080022,RRUFF,Afwillite__R080022__Broad_Scan__532__0__unoriented__Raman_Data_Processed__e118515b08b0f95773c743880506.txt,R080022,Afwillite,Afwillite,Ca_3_[SiO_4_][SiO_2_(OH)_2_]·2H_2_O,Ca_3_[SiO_4_][SiO_2_(OH)_2_]·2H_2_O,Ca3[SiO4][SiO2(OH)2]2H2O,Ca3Si3H6O13,Silicate,,"Al,Ca,Cl,Cr,F,Fe,H,K,Mg,Mn,Na,O,Si,Ti",True,True,False,False,False,,False,False,False,False,True,True,True,False,,,,,,False,,True,8,False,
R141097,RRUFF,Afwillite__R141097__Broad_Scan__532__0__unoriented__Raman_Data_Processed__19feeeab57f95aed330959b4ef76.txt,R141097,Afwillite,Afwillite,Ca_3_[SiO_4_][SiO_2_(OH)_2_]·2H_2_O,Ca_3_[SiO_4_][SiO_2_(OH)_2_]·2H_2_O,Ca3[SiO4][SiO2(OH)2]2H2O,Ca3Si3H6O13,Silicate,,"Ca,H,O,Si",False,False,False,False,False,,False,False,False,False,True,True,True,False,,,,,,False,,True,6,False,
R250018,RRUFF,Agaite__R250018__Broad_Scan__532__0__unoriented__Raman_Data_Processed__a4d621c87e7272733ddfb67bc7dd.txt,R250018,Agaite,Agaite,Pb_3_Cu^2+^Te^6+^O_5_(OH)_2_(CO_3_),Pb_3_Cu^2+^Te^6+^O_5_(OH)_2_(CO_3_),Pb3CuTeO5(OH)2(CO3),CuTeH2Pb3CO10,Carbonate,,"C,Cu,H,O,Pb,Te",True,True,False,False,False,,False,False,False,False,False,True,True,False,,,,,,True,Agaite__R250018__Broad_Scan__532__0__unoriented__Xray_Data_XY_Data_Processed__a4d621c87e7272733ddfb67bc7dd.txt,True,3,False,
R230012,RRUFF,Agakhanovite-(Y)__R230012__Raman________Raman_Data_RAW__e0cb496e9a3cfa3e5d72e81fc69a.txt,R230012,Agakhanovite-(Y),Agakhanovite-(Y),YCa[box]_2_KBe_3_Si_12_O_30_,YCa[box]_2_KBe_3_Si_12_O_30_,YCa[box]2KBe3Si12O30,YCa[box]2KBe3Si12O30,Silicate,,"Be,Ca,K,O,Si,Y",True,False,True,False,False,,False,True,False,False,False,False,False,False,,,,,,False,,False,1,False,
R060711,RRUFF,Agardite-(Y)__R060711__Raman__532______Raman_Data_Processed__9604f59bf897b8e81394df85905f.txt,R060711,Agardite-(Y),Agardite-(Y),YCu^2+^_6_(AsO_4_)_3_(OH)_6_·3H_2_O,YCu^2+^_6_(AsO_4_)_3_(OH)_6_·3H_2_O,YCu6(AsO4)3(OH)63H2O,YCu6As3H65O76,Sulfate,,"As,Ca,Cl,Cu,F,Fe,H,O,P,Si,Y",True,True,True,False,False,,False,False,False,False,True,True,True,False,,,,,,True,Agardite-(Y)__R060711__Xray_Data_XY__532______Xray_Data_XY_Data_Processed__9604f59bf897b8e81394df85905f.txt,True,6,False,
R060924,RRUFF,Agardite-(Y)__R060924__Broad_Scan__532__0__unoriented__Raman_Data_Processed__9a3d76c2b76510638977099fefa7.txt,R060924,Agardite-(Y),Agardite-(Y),YCu^2+^_6_(AsO_4_)_3_(OH)_6_·3H_2_O,YCu^2+^_6_(AsO_4_)_3_(OH)_6_·3H_2_O,YCu6(AsO4)3(OH)63H2O,YCu6As3H65O76,Sulfate,,"As,Ca,Cl,Cu,F,Fe,H,O,P,Si,Y",True,True,True,False,False,,False,False,False,False,True,True,True,False,,,,,,True,Agardite-(Y)__R060924__Broad_Scan__532__0__unoriented__Xray_Data_XY_Data_Processed__9a3d76c2b76510638977099fefa7.txt,True,6,False,
