rruff_id,mineral_name,laser_nm,data_type,source_file,has_xrd,chemical_family,formula,reduced_formula,n_elements,avg_electronegativity,avg_atomic_mass,mb_gap_median,mb_gap_min,mb_gap_max,mb_gap_count,mb_is_metal,mb_e_form_median,mb_e_form_min,mb_e_form_count
R070558,Afghanite,532,Processed,Afghanite__R070558__Raman__532______Raman_Data_Processed__47261bc87716a957db07b1359602.txt,False,Sulfate,"(Na,K)22Ca10(Si24Al24)O96(SO4)6Cl6","(Na,K)22Ca10(Si24Al24)O96(SO4)6Cl6",14.0,,,,,,,,,,
R130082,Afmite,514,Processed,Afmite__R130082__Raman__514______Raman_Data_Processed__7c715a8da858a6a2fda6e83f6ef2.txt,False,Phosphate,Al3(OH)4(H2O)3(PO4)(PO3OH)H2O,Al3P2H13O16,4.0,2.36,18.74066015,,,,,,,,
R070296,Afwillite,532,Processed,Afwillite__R070296__Raman__532______Raman_Data_Processed__b880c76fa90d5919d53b93873774.txt,False,Silicate,Ca3[SiO4][SiO2(OH)2]2H2O,Ca3Si3H6O13,4.0,2.135,21.29271,,,,,,,,
R080022,Afwillite,532,Processed,Afwillite__R080022__Broad_Scan__532__0__unoriented__Raman_Data_Processed__e118515b08b0f95773c743880506.txt,False,Silicate,Ca3[SiO4][SiO2(OH)2]2H2O,Ca3Si3H6O13,4.0,2.135,21.29271,,,,,,,,
R141097,Afwillite,532,Processed,Afwillite__R141097__Broad_Scan__532__0__unoriented__Raman_Data_Processed__19feeeab57f95aed330959b4ef76.txt,False,Silicate,Ca3[SiO4][SiO2(OH)2]2H2O,Ca3Si3H6O13,4.0,2.135,21.29271,,,,,,,,
R250018,Agaite,532,Processed,Agaite__R250018__Broad_Scan__532__0__unoriented__Raman_Data_Processed__a4d621c87e7272733ddfb67bc7dd.txt,True,Carbonate,Pb3CuTeO5(OH)2(CO3),CuTeH2Pb3CO10,6.0,2.42,71.22734,,,,,,,,
R230012,Agakhanovite-(Y),,RAW,Agakhanovite-(Y)__R230012__Raman________Raman_Data_RAW__e0cb496e9a3cfa3e5d72e81fc69a.txt,False,Silicate,YCa[box]2KBe3Si12O30,YCa[box]2KBe3Si12O30,6.0,,,,,,,,,,
R060711,Agardite-(Y),532,Processed,Agardite-(Y)__R060711__Raman__532______Raman_Data_Processed__9604f59bf897b8e81394df85905f.txt,True,Sulfate,YCu6(AsO4)3(OH)63H2O,YCu6As3H65O76,5.0,2.188,48.876158,,,,,,,,
R060924,Agardite-(Y),532,Processed,Agardite-(Y)__R060924__Broad_Scan__532__0__unoriented__Raman_Data_Processed__9a3d76c2b76510638977099fefa7.txt,True,Sulfate,YCu6(AsO4)3(OH)63H2O,YCu6As3H65O76,5.0,2.188,48.876158,,,,,,,,
R070357,Agardite-(Y),532,Processed,Agardite-(Y)__R070357__Raman__532______Raman_Data_Processed__94fb38650b4c5d48634c3781ba53.txt,True,Sulfate,YCu6(AsO4)3(OH)63H2O,YCu6As3H65O76,5.0,2.188,48.876158,,,,,,,,
R070649,Agardite-(Y),532,Processed,Agardite-(Y)__R070649__Raman__532______Raman_Data_Processed__71f0eba43a0d270136615b1c9221.txt,False,Sulfate,YCu6(AsO4)3(OH)63H2O,YCu6As3H65O76,5.0,2.188,48.876158,,,,,,,,
R060914,Agrellite,532,Processed,Agrellite__R060914__Raman__532______Raman_Data_Processed__ee1b2d09a768581d603c2c485ea2.txt,True,Silicate,NaCa2Si4O10F,NaCa2Si4O10F,5.0,2.25,25.230214496,4.959999999999999,4.959999999999999,4.959999999999999,1.0,False,-3.343222678955,-3.343222678955,1.0
R130139,Agrinierite,532,Processed,Agrinierite__R130139__Raman__532______Raman_Data_Processed__eaa3533ca0e6848d833af23c9a2e.txt,False,Oxide,K2Ca[(UO2)3O3(OH)2]25H2O,K2CaU75(H13O69)4,5.0,1.768,66.84250999999999,,,,,,,,
R070070,Aheylite,532,Processed,Aheylite__R070070__Raman__532______Raman_Data_Processed__c2c73550d979ffa22b3e6e3cb3ff.txt,False,Phosphate,FeAl6(PO4)4(OH)84H2O,Al6FeP4H86O101,5.0,2.254,26.161528119999996,,,,,,,,
R070171,Aheylite,532,Processed,Aheylite__R070171__Raman__532______Raman_Data_Processed__b7e37e8d63ba479cc41c1ae89d2b.txt,False,Phosphate,FeAl6(PO4)4(OH)84H2O,Al6FeP4H86O101,5.0,2.254,26.161528119999996,,,,,,,,
R100210,Ahlfeldite,532,Processed,Ahlfeldite__R100210__Raman__532______Raman_Data_Processed__36eab27c8d294fbd83f8018e7b43.txt,False,Oxide,Ni(SeO3)2H2O,NiH2Se2O7,4.0,2.5250000000000004,38.665184999999994,,,,,,,,
R230013,Ahrensite,514,Processed,Ahrensite__R230013__Raman__514______Raman_Data_Processed__2b949836fe23a4d517843879c3bb.txt,False,Silicate,SiFe2O4,Fe2SiO4,3.0,2.39,33.30996666666666,2.6766,2.6585,2.7099,3.0,False,-2.390258340714286,-2.4271654357142856,5.0
R100117,Aikinite,532,Processed,Aikinite__R100117__Broad_Scan__532__0__unoriented__Raman_Data_Processed__23e451c24da1224eaefcffa2a78f.txt,False,Sulfide,CuPbBiS3,CuBiPbS3,4.0,2.2075,127.94785,0.6137000000000006,0.6137000000000006,0.6137000000000006,1.0,False,-0.6858636124479176,-0.6858636124479176,1.0
R060735,Ajoite,532,Processed,Ajoite__R060735__Broad_Scan__532__0__unoriented__Raman_Data_Processed__bb12ff3d065160d278811e9a2535.txt,False,Silicate,K3Cu20Al3Si29O76(OH)168H2O,K3Al3Cu20Si29(H34O49)5,6.0,1.9783333333333335,29.119779766666667,,,,,,,,
R120018,Ajoite,532,Processed,Ajoite__R120018__Broad_Scan__532__0__unoriented__Raman_Data_Processed__ce26b8ebb1760e9fb0d204cb0754.txt,False,Silicate,K3Cu20Al3Si29O76(OH)168H2O,K3Al3Cu20Si29(H34O49)5,6.0,1.9783333333333335,29.119779766666667,,,,,,,,
R060230,Akatoreite,532,Processed,Akatoreite__R060230__Raman__532______Raman_Data_Processed__c7c287769b32eade367b14165722.txt,False,Silicate,Mn9Al2Si8O24(OH)8,Mn9Al2Si8(HO4)8,5.0,2.1399999999999997,25.40248472,3.0165,3.0165,3.0165,1.0,False,-2.556963168942372,-2.556963168942372,1.0
R061085,Akermanite,514,Processed,Akermanite__R061085-3__Raman__514__0-000__depolarized__Raman_Data_Processed__527bfd408227683c8a2eeb3b5c36.txt,True,Silicate,Ca2MgSi2O7,Ca2MgSi2O7,4.0,1.9125,27.116975,4.535950000000001,4.467700000000001,4.6042000000000005,2.0,False,-3.3869175778125005,-3.389749083645834,3.0
R061100,Akermanite,514,Processed,Akermanite__R061100-3__Raman__514__0-000__depolarized__Raman_Data_Processed__6c80a922a62ac44b8643c6296a18.txt,True,Silicate,Ca2MgSi2O7,Ca2MgSi2O7,4.0,1.9125,27.116975,4.535950000000001,4.467700000000001,4.6042000000000005,2.0,False,-3.3869175778125005,-3.389749083645834,3.0
R100028,Akrochordite,532,Processed,Akrochordite__R100028__Raman__532______Raman_Data_Processed__47907090ee36af23f03e12dad1da.txt,False,Sulfate,MnMn2Mn2(AsO4)2(OH)4(H2O)4,Mn5As2(H3O4)4,4.0,2.3425000000000002,36.71674625,,,,,,,,
R070174,Alabandite,532,Processed,Alabandite__R070174__Broad_Scan__532__0__unoriented__Raman_Data_Processed__4995083de19b9cde89207d87d5ef.txt,True,Sulfide,MnS,MnS,2.0,2.065,43.5015225,0.0,0.0,0.0,3.0,True,-0.9096111482812499,-0.94875730953125,4.0
R140323,Alacranite,532,Processed,Alacranite__R140323__Raman__532______Raman_Data_Processed__55cb6e42b84f032bcc46b93927a5.txt,False,Sulfide,As8S9,As8S9,2.0,2.38,53.4933,1.7164,1.7164,1.7164,1.0,False,-0.35538452151348104,-0.4821783930330885,2.0
R150030,Alacranite,532,Processed,Alacranite__R150030__Raman__532______Raman_Data_Processed__0c6c42f82f20a644a94cce6a3385.txt,False,Sulfide,As8S9,As8S9,2.0,2.38,53.4933,1.7164,1.7164,1.7164,1.0,False,-0.35538452151348104,-0.4821783930330885,2.0
R060067,Alamosite,532,Processed,Alamosite__R060067__Raman__532______Raman_Data_Processed__b4aed80b3b84bd8e79035f397b5c.txt,False,Silicate,PbSiO3,SiPbO3,3.0,2.5566666666666666,83.76163333333334,3.1566,3.1566,3.1566,1.0,False,-2.399208094416667,-2.611323302083334,2.0
R040068,Albite,514,Processed,Albite__R040068-3__Raman__514__0-000__depolarized__Raman_Data_Processed__b40f91d875d096aef4bd5cbeb2cf.txt,True,Silicate,Na(AlSi3O8),NaAlSi3O8,4.0,1.9699999999999998,23.514051969999997,4.9743,4.8321,4.9918,3.0,False,-3.226915543461539,-3.2302485469230766,3.0
R040129,Albite,514,Processed,Albite__R040129-3__Raman__514__0-000__depolarized__Raman_Data_Processed__0372f313bc8dc3ba8cbe0348dc49.txt,True,Silicate,Na(AlSi3O8),NaAlSi3O8,4.0,1.9699999999999998,23.514051969999997,4.9743,4.8321,4.9918,3.0,False,-3.226915543461539,-3.2302485469230766,3.0
R050253,Albite,514,Processed,Albite__R050253-3__Raman__514__0-000__depolarized__Raman_Data_Processed__08aec584c4a71d72542de0a54495.txt,True,Silicate,Na(AlSi3O8),NaAlSi3O8,4.0,1.9699999999999998,23.514051969999997,4.9743,4.8321,4.9918,3.0,False,-3.226915543461539,-3.2302485469230766,3.0
R050402,Albite,514,Processed,Albite__R050402-3__Raman__514__0-000__depolarized__Raman_Data_Processed__eb123b2915e05f23dc9cfdcd20a5.txt,True,Silicate,Na(AlSi3O8),NaAlSi3O8,4.0,1.9699999999999998,23.514051969999997,4.9743,4.8321,4.9918,3.0,False,-3.226915543461539,-3.2302485469230766,3.0
R060054,Albite,532,Processed,Albite__R060054__Raman__532______Raman_Data_Processed__2042d91ce3a2aa0b6a2ca165c1f6.txt,True,Silicate,Na(AlSi3O8),NaAlSi3O8,4.0,1.9699999999999998,23.514051969999997,4.9743,4.8321,4.9918,3.0,False,-3.226915543461539,-3.2302485469230766,3.0
R070268,Albite,532,Processed,Albite__R070268__Raman__532______Raman_Data_Processed__8bf1d3031e383c3d078490d5fbc7.txt,True,Silicate,Na(AlSi3O8),NaAlSi3O8,4.0,1.9699999999999998,23.514051969999997,4.9743,4.8321,4.9918,3.0,False,-3.226915543461539,-3.2302485469230766,3.0
R100169,Albite,532,Processed,Albite__R100169__Broad_Scan__532__0__unoriented__Raman_Data_Processed__e7f172e7ca8cf5b3f0a4af7b1ef6.txt,False,Silicate,Na(AlSi3O8),NaAlSi3O8,4.0,1.9699999999999998,23.514051969999997,4.9743,4.8321,4.9918,3.0,False,-3.226915543461539,-3.2302485469230766,3.0
R230008,Albite,532,Processed,Albite__R230008__Raman__532______Raman_Data_Processed__cd94ba6db33df4883965445e1905.txt,False,Silicate,Na(AlSi3O8),NaAlSi3O8,4.0,1.9699999999999998,23.514051969999997,4.9743,4.8321,4.9918,3.0,False,-3.226915543461539,-3.2302485469230766,3.0
R100073,Aldermanite,532,Processed,Aldermanite__R100073__Raman__532______Raman_Data_Processed__aeb87084b05c700bc03dc54033d3.txt,False,Phosphate,[Mg(H2O)6][Na(H2O)2Al3(PO4)2(OH)6]H2O,NaMgAl3P2H24O23,6.0,1.9466666666666665,20.376234979999996,,,,,,,,
R220034,Aldomarinoite,532,Processed,Aldomarinoite__R220034__Raman__532______Raman_Data_Processed__6eb12eff8165446a8a08df5fcc04.txt,False,Sulfate,Sr2Mn(AsO4)2(OH),Sr2MnAs2HO9,5.0,2.064,46.897397,,,,,,,,
R070011,Aleksite,532,Processed,Aleksite__R070011__Raman__532______Raman_Data_Processed__42c14466587c5aaa0f94d8ba5376.txt,False,Sulfide,PbBi2Te2S2,Bi2Te2PbS2,4.0,2.2575,143.96134999999998,,,,,,,,
R070356,Alforsite,532,Processed,Alforsite__R070356__Raman__532______Raman_Data_Processed__cc820876280ed638d1e927f5c41a.txt,False,Phosphate,Ba5(PO4)3Cl,Ba5P3ClO12,4.0,2.42,54.9382905,5.0449,5.0449,5.0449,1.0,False,-3.316371806413742,-3.316371806413742,1.0
R210014,Alfredopetrovite,532,Processed,Alfredopetrovite__R210014__Raman__532______Raman_Data_Processed__bf54bfd142ed74d2673d8ebc2570.txt,False,Oxide,Al2(SeO3)36H2O,Al2H2Se36O109,4.0,2.45,30.73721965,,,,,,,,
R070012,Allabogdanite,532,Processed,Allabogdanite__R070012__Raman__532______Raman_Data_Processed__a5f49a771e29ac8dedccec154fe4.txt,False,Mixed/Other,"(Fe,Ni)2P","(Fe,Ni)2P",3.0,,,,,,,,,,
R070175,Allactite,532,Processed,Allactite__R070175__Raman__532______Raman_Data_Processed__02fcabb45521656ae566b8dd035a.txt,True,Sulfate,Mn7(AsO4)2(OH)8,Mn7As2(HO2)8,4.0,2.3425000000000002,36.71674625,,,,,,,,
R150120,Allactite,532,Processed,Allactite__R150120__Raman__532______Raman_Data_Processed__c548aed0bd883def8251e338a595.txt,False,Sulfate,Mn7(AsO4)2(OH)8,Mn7As2(HO2)8,4.0,2.3425000000000002,36.71674625,,,,,,,,
R050043,Allanite-(Ce),514,Processed,Allanite-(Ce)__R050043__Raman__514______Raman_Data_Processed__fc5445bdbcd525e600f1e3868a30.txt,True,Silicate,CaCe(Al2Fe)[Si2O7][SiO4]O(OH),CaCeAl2FeSi3HO13,7.0,1.8714285714285717,44.01619694285715,,,,,,,,
R060418,Allanite-(Ce),532,Processed,Allanite-(Ce)__R060418__Broad_Scan__532__0__unoriented__Raman_Data_Processed__1383d4b8eecf596d733511fc3602.txt,True,Silicate,CaCe(Al2Fe)[Si2O7][SiO4]O(OH),CaCeAl2FeSi3HO13,7.0,1.8714285714285717,44.01619694285715,,,,,,,,
R080044,Allanite-(Ce),532,Processed,Allanite-(Ce)__R080044__Broad_Scan__532__0__unoriented__Raman_Data_Processed__2d505de28964578c995e94f017c5.txt,True,Silicate,CaCe(Al2Fe)[Si2O7][SiO4]O(OH),CaCeAl2FeSi3HO13,7.0,1.8714285714285717,44.01619694285715,,,,,,,,
R080092,Allanite-(Ce),532,Processed,Allanite-(Ce)__R080092__Broad_Scan__532__0__unoriented__Raman_Data_Processed__6d6bb61f84e5554c030e2e399bdc.txt,True,Silicate,CaCe(Al2Fe)[Si2O7][SiO4]O(OH),CaCeAl2FeSi3HO13,7.0,1.8714285714285717,44.01619694285715,,,,,,,,
R070246,Allanite-(La),532,Processed,Allanite-(La)__R070246__Raman__532______Raman_Data_Processed__eedffc78d48bdc37f266f9963e52.txt,False,Silicate,CaLa(Al2Fe)[Si2O7][SiO4]O(OH),CaLaAl2FeSi3HO13,7.0,1.8685714285714283,43.84326408571429,,,,,,,,
R080147,Allanpringite,532,Processed,Allanpringite__R080147__Raman__532______Raman_Data_Processed__ce92b7a00ef0c46ae81aefed2d96.txt,False,Phosphate,Fe3(PO4)2(OH)35H2O,Fe3P2H37O44,4.0,2.415,25.956525499999998,,,,,,,,
R250019,Allantoin,532,Processed,Allantoin__R250019__Raman__532______Raman_Data_Processed__617065e8b0d358fb08ab2646dbcc.txt,True,Mixed/Other,C4H6N4O3,H6C4N4O3,4.0,2.8075,10.756185,,,,,,,,
R060904,Alleghanyite,532,Processed,Alleghanyite__R060904__Raman__532______Raman_Data_Processed__cfc9c2fb98ef5f8ea39fde3c7eea.txt,False,Silicate,Mn5(SiO4)2(OH)2,Mn5Si2(HO5)2,4.0,2.2725,25.00772125,,,,,,,,
R070378,Alleghanyite,532,Processed,Alleghanyite__R070378__Raman__532______Raman_Data_Processed__92272db07d560d7a17e43af7c707.txt,False,Silicate,Mn5(SiO4)2(OH)2,Mn5Si2(HO5)2,4.0,2.2725,25.00772125,,,,,,,,
R110002,Alloclasite,532,Processed,Alloclasite__R110002__Raman__532______Raman_Data_Processed__64adf563a87688981f5a7fa0aae5.txt,False,Sulfide,CoAsS,CoAsS,3.0,2.2133333333333334,55.30659833333333,0.4256000000000002,0.0,0.9407000000000004,4.0,False,-0.6019660913541672,-0.6613071613541663,6.0
R070188,Allophane,785,Processed,Allophane__R070188__Broad_Scan__785__0__unoriented__Raman_Data_Processed__548d81d1d46146110da33baa68c0.txt,False,Silicate,Al2O3(SiO2)13-2025-30H2O,Al2O3(SiO2)13-2025-30H2O,4.0,,,,,,,,,,
R120001,Allophane,532,Processed,Allophane__R120001__Raman__532______Raman_Data_Processed__4376b1f0ef96a687cd049fd7af56.txt,False,Silicate,Al2O3(SiO2)13-2025-30H2O,Al2O3(SiO2)13-2025-30H2O,4.0,,,,,,,,,,
